Station ID,Station,Latitude,Longitude,Municipality,publiclyExposed,# of Docks
A32019,175 N Harvard St,42.363796,-71.129164,Boston,1,18
S32035,191 Beacon St,42.38032335,-71.10878613,Somerville,1,15
S32023,30 Dane St.,42.38100143,-71.10402523,Somerville,1,15
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,1,23
M32054,699 Mt Auburn St,42.37500235,-71.14871614,Cambridge,1,25
M32060,700 Huron Ave,42.38078817,-71.15412891,Cambridge,1,19
M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,1,25
A32032,Airport T Stop - Bremen St at Brooks St,42.37411262,-71.03277501,Boston,1,16
M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,1,19
M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,1,23
A32017,Allston Green District - Griggs St at Commonwealth Ave,42.34922469,-71.13275303,Boston,1,15
M32059,Ames St at Broadway,42.3636929,-71.0875672,Cambridge,1,19
M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,1,19
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365,-71.05701685,Boston,1,15
B32004,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,Boston,1,23
D32004,Arch St at Franklin St,42.35533502,-71.05822917,Boston,1,23
C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Boston,1,15
S32018,Assembly Square T,42.39223284,-71.07746601,Somerville,1,15
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,1,11
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,1,19
S32007,Ball Sq,42.400146,-71.112708,Somerville,0,15
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,1,15
D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,1,15
B32016,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,Boston,1,19
K32002,Beacon St at Tappan St,42.3382668,-71.13894682,Brookline,1,15
S32003,Beacon St at Washington / Kirkland,42.37842,-71.105668,Somerville,1,15
C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Boston,1,15
A32028,Bennington St at Byron St,42.38353252,-71.01619095,Boston,1,15
A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Boston,1,17
M32027,Binney St / Sixth St,42.36616223,-71.08688294,Cambridge,1,19
C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,1,19
B32057,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,Boston,1,15
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,1,21
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,1,19
A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,1,15
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33671641,-71.06880777,Boston,1,19
D32044,Boston Public Market,42.36254854,-71.05737358,Boston,1,15
B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,1,15
D32007,Boylston St at Arlington St,42.35256693,-71.06770543,Boston,1,23
D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,1,15
D32027,Boylston St at Dartmouth St,42.350413,-71.07655,Boston,1,15
D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,1,19
C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,1,19
B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,1,15
B32018,Boylston St at Massachusetts Ave,42.347265,-71.088088,Boston,1,15
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,1,15
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,1,17
A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,1,15
S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,1,15
S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,1,15
C32053,Broadway T Stop,42.34278116,-71.05747275,Boston,1,15
K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,1,15
K32003,Brookline Village - Pearl Street at MBTA,42.332799,-71.116205,Brookline,1,15
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,1,19
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,1,15
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Cambridge,1,19
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,1,19
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,1,15
D32000,Cambridge St at Joy St,42.36121165,-71.0653062,Boston,1,15
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,1,15
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,1,17
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,1,19
E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,1,15
D32016,Charles Circle - Charles St at Cambridge St,42.360185,-71.07086598,Boston,1,15
D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,1,23
A32027,Chelsea St at Saratoga St,42.379772,-71.027448,Boston,1,15
M32049,Child St at North St,42.37150494,-71.07249312,Cambridge,1,23
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,1,19
D32019,Chinatown T Stop,42.352409,-71.062679,Boston,1,15
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,1,19
S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,1,15
B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,1,15
C32055,Codman Square Library,42.2873611,-71.071111,Boston,1,17
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,1,15
B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,1,15
C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,1,19
C32004,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,Boston,1,14
A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,1,15
K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,1,15
D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,1,19
D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,1,15
S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,1,15
D32009,Congress St at North St,42.36041775,-71.05752244,Boston,1,19
C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,1,15
C32010,Congress St at Sleeper St,42.3510045,-71.04930013,Boston,1,19
S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,Somerville,1,15
K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,1,19
D32005,Copley Square - Dartmouth St at Boylston St,42.34993464,-71.07738554,Boston,1,33
D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,1,15
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,1,15
K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,1,15
M32030,Dana Park,42.36178044,-71.10809952,Cambridge,1,19
M32031,Danehy Park,42.388966,-71.132788,Cambridge,1,17
D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,1,19
S32006,Davis Square,42.396969,-71.123024,Somerville,1,25
B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,1,19
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,1,15
B32017,Dudley Square - Dudley St at Warren St,42.32854046,-71.08416483,Boston,1,14
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,1,15
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,1,19
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,1,16
S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,1,15
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,1,15
M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,1,23
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,1,15
A32000,Fan Pier,42.35339051,-71.0445714,Boston,1,15
A32038,Faneuil St at Arlington St,42.35276621,-71.15988486,Boston,1,15
D32030,Faneuil St at Market St,42.35484,-71.150226,Boston,1,15
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,1,23
C32041,Fields Corner T Stop,42.2996667,-71.0605833,Boston,1,15
S32015,Foss Park,42.39108438,-71.09039426,Somerville,1,15
C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,1,11
C32027,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston,1,15
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,1,14
M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Cambridge,1,17
C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,1,15
A32034,Glendon St at Condor St,42.38240378,-71.03024304,Boston,1,19
B32032,Government Center - Cambridge St at Court St,42.35980252,-71.05960783,Boston,1,23
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,1,23
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,1,15
S32019,Grove St at Community Path,42.39638681,-71.12011306,Somerville,1,15
D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,1,19
C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Boston,1,19
D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Boston,1,15
A32018,Harvard Ave at Glennville Ave,42.351068,-71.131666,Boston,0,15
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,Cambridge,1,23
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,1,19
