Station ID,Station,Latitude,Longitude,Municipality,# of Docks
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,15
D32030,Faneuil St at Market St,42.35480179,-71.15025043,Boston,15
E32002,JP Center,42.313156,-71.11414,Boston,15
A32000,Fan Pier,42.35328743,-71.04438901,Boston,15
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,15
A32002,Commonwealth Ave at Buick St,42.351246,-71.115639,Boston,19
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,11
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,15
A32005,Brighton Mills - 370 Western Ave,42.361667,-71.13802,Boston,15
A32006,Soldiers Field Park - 111 Western Ave,42.365064,-71.119233,Boston,15
A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,15
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,15
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,46
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,Boston,15
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,19
A32013,Surface Rd at India St,42.358155,-71.052163,Boston,19
A32017,Allston Green District - Griggs St at Commonwealth Ave,42.348607,-71.13401,Boston,15
A32019,175 N Harvard St,42.363796,-71.129164,Boston,18
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,15
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,18
A32025,Nashua Street at Red Auerbach Way,42.36559771,-71.06424809,Boston,37
A32026,Purchase St at Pearl St,42.354686,-71.053292,Boston,19
A32027,Chelsea St at Saratoga St,42.37980321,-71.02744818,Boston,15
A32028,Bennington St at Byron St,42.38337842,-71.01612031,Boston,15
A32029,Piers Park,42.36489046,-71.03504241,Boston,19
A32030,Maverick Square - Lewis Mall,42.36883857,-71.03976667,Boston,33
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.36956287,-71.03942692,Boston,16
A32032,Airport T Stop - Bremen St at Brooks St,42.37536686,-71.03135884,Boston,15
A32033,The Eddy - New St at Sumner St,42.37078455,-71.0442616,Boston,15
A32034,Glendon St at Condor St,42.38244736,-71.03023231,Boston,19
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.38673179,-71.00621223,Boston,19
A32036,Central Square - East Boston,42.37430132,-71.03808671,Boston,15
B32000,Newbury St at Hereford St,42.34872432,-71.08583987,Boston,18
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.335911,-71.088496,Boston,15
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337171,-71.102797,Boston,21
B32004,Aquarium T Stop - 200 Atlantic Ave,42.35977,-71.051601,Boston,19
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.343864,-71.085918,Boston,19
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340021,-71.100812,Boston,15
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.351205,-71.043983,Boston,19
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,21
B32010,Kenmore Square,42.348706,-71.097009,Boston,15
B32011,Yawkey Way at Boylston St.,42.344706,-71.097515,Boston,19
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,15
B32013,Brigham Circle - Francis St at Huntington Ave,42.334073,-71.105221,Boston,15
B32014,Seaport Hotel - Congress St at Seaport Ln,42.348833,-71.041747,Boston,15
B32015,Landmark Center - Brookline Ave at Park Dr,42.343912,-71.102221,Boston,11
B32016,Beacon St at Massachusetts Ave,42.350851,-71.089886,Boston,19
B32017,Dudley Square - Dudley St at Warren St,42.328654,-71.084198,Boston,15
B32018,Boylston St at Massachusetts Ave,42.347265,-71.088088,Boston,15
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,15
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.337596,-71.096391,Boston,14
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.317963,-71.082254,Boston,11
B32023,MLK Blvd at Washington St,42.321678,-71.091822,Boston,15
B32025,Upham's Corner T Stop - Magnolia St at Dudley St,42.31884382,-71.06975734,Boston,15
B32026,Washington St at Melnea Cass Blvd,42.33282816,-71.08126938,Boston,15
B32027,NCAAA - Walnut Ave at Crawford St,42.316873,-71.091955,Boston,15
B32028,Grove Hall Library - 41 Geneva Ave,42.308035,-71.081159,Boston,15
B32029,Columbia Rd at Ceylon St,42.309566,-71.072863,Boston,15
B32030,Walnut Ave at Warren St,42.324069,-71.083162,Boston,15
B32031,Bowdoin St at Quincy St,42.30791913,-71.06502056,Boston,15
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,15
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,15
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,Boston,19
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,19
C32004,Columbus Ave at Massachusetts Ave,42.340799,-71.081572,Boston,11
C32005,Washington St at Lenox St,42.3348756,-71.0790969,Boston,15
C32006,Washington St at Rutland St,42.33849279,-71.07401937,Boston,19
C32007,Prudential Center - Belvedere St,42.345959,-71.082578,Boston,25
C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,19
C32009,Dorchester Ave at Gillette Park,42.344023,-71.057054,Boston,15
C32010,Congress St at Sleeper St,42.3511,-71.0496,Boston,19
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.330716,-71.057044,Boston,15
C32013,JFK/UMass T Stop,42.320494,-71.051122,Boston,15
C32014,University of Massachusetts Boston - Integrated Sciences Complex,42.3139036,-71.0405121,Boston,19
C32016,W Broadway at Dorchester St,42.335693,-71.045859,Boston,17
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,15
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,19
C32019,Upham's Corner,42.31756858,-71.06403709,Boston,15
C32020,ID Building East,42.344827,-71.028664,Boston,17
C32021,ID Building West,42.344796,-71.031614,Boston,19
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,15
