ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
102,Stony Island Ave & 67th St,,11,11,In Service,41.773458499,-87.585339739,"(41.77345849948, -87.5853397391)"
103,Clinton St & Polk St,,15,15,In Service,41.871466518,-87.640949133,"(41.87146651779, -87.6409491327)"
11,Jeffery Blvd & 71st St,,11,11,In Service,41.766638237,-87.576450114,"(41.76663823695, -87.5764501141)"
12,South Shore Dr & 71st St,,15,15,In Service,41.766409457,-87.565687572,"(41.7664094567, -87.5656875719)"
132,Wentworth Ave & 24th St (Temp),,15,15,In Service,41.850083693,-87.632140517,"(41.85008369347577, -87.6321405172348)"
133,Kingsbury St & Kinzie St,,31,31,In Service,41.889176833,-87.638505772,"(41.88917683258, -87.6385057718)"
145,Mies van der Rohe Way & Chestnut St,,19,19,In Service,41.898586651,-87.621915226,"(41.8985866514, -87.6219152258)"
156,Clark St & Wellington Ave,,15,15,In Service,41.936496822,-87.647538658,"(41.9364968219, -87.6475386582)"
157,Lake Shore Dr & Wellington Ave,,15,15,In Service,41.936688449,-87.636829019,"(41.9366884494997, -87.63682901859283)"
161,Rush St & Superior St,,23,23,In Service,41.895764746,-87.625908033,"(41.89576474564, -87.6259080327)"
172,Rush St & Cedar St,,11,11,In Service,41.902308701,-87.627690528,"(41.90230870122, -87.627690528)"
2,Buckingham Fountain,,39,39,In Service,41.876511229,-87.62054801,"(41.87651122881695, -87.62054800987242)"
239,Western Ave & Leland Ave,,15,15,In Service,41.96581646,-87.686498165,"(41.96581646001197, -87.68649816513062)"
259,California Ave & Francis Pl (Temp),,15,15,In Service,41.918491154,-87.697422802,"(41.91849115368695, -87.69742280244827)"
270,Stony Island Ave & 75th St,,11,11,In Service,41.75866967,-87.586882871,"(41.7586696704, -87.586882871)"
286,Franklin St & Adams St (Temp),,15,15,In Service,41.879434091,-87.635504007,"(41.87943409140013, -87.63550400733948)"
3,Shedd Aquarium,,55,55,In Service,41.867225957,-87.61535539,"(41.86722595682, -87.6153553902)"
31,Franklin St & Chicago Ave,,23,23,In Service,41.896746973,-87.635667622,"(41.896746973093805, -87.63566762208939)"
319,Greenview Ave & Diversey Pkwy,,15,15,In Service,41.932589634,-87.665936351,"(41.93258963429789, -87.66593635082245)"
34,Cannon Dr & Fullerton Ave,,15,15,In Service,41.926755988,-87.634428785,"(41.9267559875, -87.6344287848)"
348,California Ave & 21st St,,15,15,In Service,41.853804066,-87.695742399,"(41.8538040657915, -87.69574239850043)"
352,Jeffery Blvd & 67th St,,11,11,In Service,41.773517551,-87.577142826,"(41.77351755125, -87.5771428255)"
354,Sheridan Rd & Greenleaf Ave,,15,15,In Service,42.010586563,-87.662412095,"(42.01058656284, -87.6624120948)"
356,Stony Island Ave & 71st St,,11,11,In Service,41.766492937,-87.586460878,"(41.7664929373, -87.5864608775)"
359,Larrabee St & Division St,,23,23,In Service,41.90348607,-87.643353494,"(41.90348607004, -87.6433534936)"
36,Franklin St & Jackson Blvd,,39,39,In Service,41.877707956,-87.635321141,"(41.8777079559, -87.6353211408)"
364,Larrabee St & Oak St,,19,19,In Service,41.900219493,-87.642985468,"(41.90021949323, -87.6429854676)"
366,Loomis St & Archer Ave,,11,11,In Service,41.84163254,-87.657434953,"(41.84163253965, -87.6574349533)"
367,Racine Ave & 35th St,,15,15,In Service,41.830696113,-87.655975912,"(41.83069611252, -87.6559759116)"
368,Ashland Ave & Archer Ave,,15,15,In Service,41.839208684,-87.665609859,"(41.83920868403, -87.6656098589)"
369,Wood St & 35th St,,11,11,In Service,41.830104654,-87.670298309,"(41.83010465416, -87.6702983089)"
37,Dearborn St & Adams St,,19,19,In Service,41.879356359,-87.629791036,"(41.8793563587, -87.6297910363)"
370,Calumet Ave & 21st St,,15,15,In Service,41.854184249,-87.619153741,"(41.85418424947, -87.6191537415)"
373,Kedzie Ave & Chicago Ave,,11,11,In Service,41.895465303,-87.706127884,"(41.89546530305, -87.7061278837)"
374,Western Ave & Walton St,,23,23,In Service,41.898417689,-87.686596016,"(41.89841768945, -87.6865960164)"
375,Sacramento Blvd & Franklin Blvd,,11,11,In Service,41.890468792,-87.702607512,"(41.89046879243862, -87.70260751247406)"
376,Artesian Ave & Hubbard St,,35,35,In Service,41.88949182,-87.688219365,"(41.88949181977, -87.6882193648)"
377,Kedzie Ave & Lake St,,15,15,In Service,41.884603285,-87.706303744,"(41.88460328501, -87.7063037436)"
378,California Ave & Lake St,,11,11,In Service,41.884453957,-87.696298137,"(41.88445395657, -87.6962981368)"
38,Clark St & Lake St,,27,27,In Service,41.886020828,-87.630876058,"(41.88602082773, -87.6308760584)"
381,Western Ave & Monroe St,,15,15,In Service,41.879787709,-87.686112808,"(41.8797877089, -87.686112808)"
382,Western Ave & Congress Pkwy,,19,19,In Service,41.874748851,-87.686445276,"(41.87474885079, -87.6864452757)"
384,Halsted St & 51st St,,11,11,In Service,41.80183164,-87.645213904,"(41.80183164049, -87.645213904)"
386,Halsted St & 56th St,,11,11,In Service,41.792929646,-87.644990057,"(41.79292964599, -87.6449900565)"
388,Halsted St & 63rd St,,11,11,In Service,41.779381142,-87.644620815,"(41.77938114228, -87.6446208145)"
39,Wabash Ave & Adams St,,23,23,In Service,41.879472352,-87.625688606,"(41.87947235235, -87.6256886059)"
390,Wentworth Ave & 63rd St,,11,11,In Service,41.780079633,-87.629746305,"(41.78007963264, -87.6297463052)"
391,Halsted St & 69th St,,11,11,In Service,41.76906172,-87.644613578,"(41.76906172032, -87.6446135779)"
392,Perry Ave & 69th St,,11,11,In Service,41.76929309,-87.628195929,"(41.76929308995, -87.6281959291)"
393,Calumet Ave & 71st St,,11,11,In Service,41.765508006,-87.616917925,"(41.76550800581, -87.616917925)"
395,Jeffery Blvd & 76th St,,11,11,In Service,41.757120068,-87.575839359,"(41.75712006802, -87.5758393587)"
398,Rainbow Beach,,15,15,In Service,41.757871448,-87.54938625,"(41.75787144829, -87.54938625)"
399,South Shore Dr & 74th St,,11,11,In Service,41.76218896,-87.55927465,"(41.76218896038, -87.55927465)"
403,Wentworth Ave & 33rd St,,15,15,In Service,41.834529886,-87.631822981,"(41.83452988563, -87.6318229814)"
406,Lake Park Ave & 35th St,,19,19,In Service,41.831274235,-87.608799195,"(41.83127423549, -87.6087991946)"
407,State St & Pershing Rd,,11,11,In Service,41.823015238,-87.626568018,"(41.82301523798, -87.6265680185)"
409,Shields Ave & 43rd St,,11,11,In Service,41.816207679,-87.63481935,"(41.81620767856, -87.6348193497)"
41,Federal St & Polk St,,19,19,In Service,41.872077633,-87.629543773,"(41.87207763285, -87.6295437729)"
410,Prairie Ave & 43rd St,,15,15,In Service,41.816658893,-87.619412462,"(41.81665889302, -87.6194124619)"
411,Halsted St & 47th Pl,,11,11,In Service,41.808133915,-87.645616554,"(41.80813391481, -87.6456165545)"
412,Princeton Ave & 47th St,,11,11,In Service,41.809317709,-87.633449288,"(41.80931770924, -87.633449288)"
413,Woodlawn Ave & Lake Park Ave,,15,15,In Service,41.81409271,-87.597005148,"(41.81409271048, -87.5970051479)"
415,Calumet Ave & 51st St,,11,11,In Service,41.802294651,-87.61805358,"(41.80229465088, -87.6180535802)"
418,Ellis Ave & 53rd St,,11,11,In Service,41.799336263,-87.600958115,"(41.79933626261, -87.6009581145)"
419,Lake Park Ave & 53rd St,,15,15,In Service,41.799494294,-87.586449896,"(41.79949429373, -87.5864498959)"
420,Ellis Ave & 55th St,,19,19,In Service,41.794300621,-87.601449773,"(41.79430062054, -87.6014497734)"
421,MLK Jr Dr & 56th St,,11,11,In Service,41.793429457,-87.615853262,"(41.79342945658, -87.6158532619)"
422,DuSable Museum,,11,11,In Service,41.791568011,-87.607852177,"(41.79156801058, -87.6078521774)"
424,Museum of Science and Industry,,27,27,In Service,41.79172821,-87.583945009,"(41.79172820953, -87.583945009)"
425,Harper Ave & 59th St,,15,15,In Service,41.787942813,-87.58831517,"(41.78794281287, -87.5883151702)"
426,Ellis Ave & 60th St,,19,19,In Service,41.785097146,-87.601072761,"(41.78509714636, -87.6010727606)"
427,Cottage Grove Ave & 63rd St,,15,15,In Service,41.780599015,-87.606112388,"(41.78059901484, -87.606112388)"
428,Dorchester Ave & 63rd St,,11,11,In Service,41.780405646,-87.591415989,"(41.7804056457, -87.5914159893)"
43,Michigan Ave & Washington St,,43,43,In Service,41.883984065,-87.624683976,"(41.8839840647265, -87.6246839761734)"
430,MLK Jr Dr & 63rd St,,11,11,In Service,41.780080637,-87.615942857,"(41.78008063659, -87.6159428567)"
431,Eberhart Ave & 61st St,,11,11,In Service,41.784141693,-87.61330783,"(41.78414169317, -87.6133078304)"
433,Kedzie Ave & Harrison St,,11,11,In Service,41.873599675,-87.704870749,"(41.87359967462, -87.7048707493)"
434,Ogden Ave & Roosevelt Rd,,19,19,In Service,41.866501483,-87.68469707,"(41.86650148316, -87.68469707)"
435,Kedzie Ave & Roosevelt Rd,,11,11,In Service,41.866492782,-87.706496176,"(41.86649278172, -87.7064961757)"
438,Central Park Ave & Ogden Ave,,15,15,In Service,41.854204313,-87.715405838,"(41.85420431327, -87.7154058381)"
439,Kedzie Ave & 21st St,,11,11,In Service,41.853533632,-87.705073032,"(41.85353363213, -87.7050730318)"
44,State St & Randolph St,,27,27,In Service,41.884730201,-87.627733569,"(41.8847302006, -87.6277335692)"
441,Kedzie Ave & 24th St,,11,11,In Service,41.848190945,-87.705413746,"(41.84819094491, -87.7054137458)"
