,Unnamed: 0,id,name,lat,lon,first,last,rides
0,0,86,Eckhart Park,41.8964,-87.661,2013-06-27,2022-05-11,58130
1,1,503,Drake Ave & Fullerton Ave,41.9244,-87.7154,2015-06-30,2020-11-07,13529
2,2,142,McClurg Ct & Erie St,41.8945,-87.6179,2015-06-30,2022-05-11,113429
3,3,216,California Ave & Division St,41.903,-87.6975,2013-06-27,2022-05-11,25096
4,4,125,Rush St & Hubbard St,41.8902,-87.6262,2015-06-30,2022-05-11,75898
5,5,173,Mies van der Rohe Way & Chicago Ave,41.8969,-87.6217,2013-06-27,2022-05-11,124019
6,6,35,Streeter Dr & Grand Ave,41.8923,-87.612,2013-06-27,2022-05-11,595902
7,7,434,Ogden Ave & Roosevelt Rd,41.8665,-87.6847,2015-06-30,2022-05-11,13001
8,8,627,LaSalle Dr & Huron St,41.8949,-87.6323,2018-01-01,2022-05-11,47883
9,9,377,Kedzie Ave & Lake St,41.8846,-87.7063,2015-06-30,2022-05-11,5978
10,10,508,Central Park Ave & North Ave,41.9097,-87.7166,2015-06-30,2022-05-11,8168
11,11,374,Western Ave & Walton St,41.8984,-87.6866,2015-06-30,2022-05-11,42261
12,12,321,Wabash Ave & 9th St,41.8708,-87.6257,2013-06-27,2022-05-11,112620
13,13,9,Leavitt St & Archer Ave,41.8288,-87.6806,2015-06-30,2022-05-11,5556
14,14,141,Clark St & Lincoln Ave,41.9157,-87.6346,2013-06-27,2022-05-11,182059
15,15,109,900 W Harrison St,41.8748,-87.6498,2013-06-27,2022-05-11,48242
16,16,424,Museum of Science and Industry,41.7917,-87.5839,2015-06-30,2022-05-11,29304
17,17,347,Ashland Ave & Grace St,41.9507,-87.6687,2013-06-27,2022-05-11,41275
18,18,198,Green St & Madison St,41.8819,-87.6488,2013-06-27,2022-05-11,136682
19,19,344,Ravenswood Ave & Lawrence Ave,41.9691,-87.6742,2013-06-27,2022-05-11,100612
20,20,227,Southport Ave & Waveland Ave,41.9482,-87.6639,2013-06-27,2022-05-11,98869
21,21,661,Evanston Civic Center,42.057,-87.6866,2018-10-01,2022-05-11,3537
22,22,127,Lincoln Ave & Fullerton Ave,41.9259,-87.6493,2013-06-27,2022-05-11,105979
23,23,80,Aberdeen St & Monroe St,41.8804,-87.6555,2013-06-27,2022-05-11,84575
24,24,77,Clinton St & Madison St,41.8822,-87.6411,2013-06-27,2022-05-11,293396
25,25,346,Ada St & Washington Blvd,41.8828,-87.6612,2013-06-27,2022-05-11,64236
26,26,329,Lake Shore Dr & Diversey Pkwy,41.9326,-87.6364,2013-06-27,2022-05-11,111890
27,27,635,Fairbanks St & Superior St,41.8957,-87.6201,2018-07-01,2022-05-11,27632
28,28,659,Leavitt St & Chicago Ave,41.8955,-87.682,2018-07-01,2022-05-11,14817
29,29,342,Wolcott Ave & Polk St,41.8713,-87.6737,2013-06-27,2022-05-11,70102
30,30,161,Rush St & Superior St,41.8958,-87.6259,2015-06-30,2022-05-11,99156
31,31,88,Racine Ave & Randolph St,41.8841,-87.6569,2013-06-27,2022-05-11,50930
32,32,67,Sheffield Ave & Fullerton Ave,41.9256,-87.6537,2013-06-27,2022-05-11,134877
33,33,164,Franklin St & Lake St,41.8858,-87.6355,2013-06-27,2022-05-11,123612
34,34,237,MLK Jr Dr & 29th St,41.8421,-87.617,2013-06-27,2022-05-11,57195
35,35,279,Halsted St & 35th St,41.8307,-87.6472,2013-06-27,2022-05-11,12679
36,36,414,Canal St & Taylor St,41.8703,-87.6395,2015-06-30,2022-05-11,41435
37,37,367,Racine Ave & 35th St,41.8307,-87.656,2015-06-30,2022-05-11,5745
38,38,59,Wabash Ave & Roosevelt Rd,41.8672,-87.626,2013-06-27,2022-05-11,177850
39,39,157,Lake Shore Dr & Wellington Ave,41.9367,-87.6368,2013-06-27,2022-05-11,125564
40,40,13,Wilton Ave & Diversey Pkwy,41.9324,-87.6527,2013-06-27,2022-05-11,114926
41,41,165,Clark St & Grace St,41.9508,-87.6592,2013-06-27,2022-05-11,76419
42,42,313,Lakeview Ave & Fullerton Pkwy,41.9259,-87.639,2013-06-27,2022-05-11,134481
43,43,340,Clark St & Wrightwood Ave,41.9295,-87.6431,2013-06-27,2022-05-11,136955
44,44,26,McClurg Ct & Illinois St,41.8904,-87.6175,2013-06-27,2020-11-07,166300
45,45,254,Pine Grove Ave & Irving Park Rd,41.9544,-87.648,2013-06-27,2022-05-11,97297
46,46,180,Ritchie Ct & Banks St,41.9069,-87.6262,2015-06-30,2022-05-11,67122
47,47,110,Dearborn St & Erie St,41.894,-87.6293,2013-06-27,2022-05-11,204930
