,Unnamed: 0,id,name,lat,lon,first,last,rides
0,0,31208.0,M St & New Jersey Ave SE,38.8763,-77.0037,2010-09-20,2022-07-28,98431
1,1,31209.0,1st & N St  SE,38.8743,-77.0057,2010-09-20,2022-07-28,74030
2,2,31600.0,5th & K St NW,38.90304,-77.019027,2010-09-20,2022-07-28,277325
3,3,31100.0,19th St & Pennsylvania Ave NW,38.9003,-77.0429,2010-09-20,2022-07-28,107248
4,4,31109.0,7th & T St NW,38.9155,-77.0222,2010-09-20,2022-07-28,194436
5,5,31111.0,10th & U St NW,38.9172,-77.0259,2010-09-20,2022-07-28,168159
6,6,31703.0,Minnesota Ave Metro/DOES,38.897063,-76.947446,2010-09-20,2022-07-28,5356
7,7,31500.0,4th & W St NE,38.919077,-77.000648,2010-09-20,2022-07-28,50928
8,8,31603.0,1st & M St NE,38.9057,-77.0056,2010-09-20,2022-07-28,290788
9,9,31602.0,Park Rd & Holmead Pl NW,38.9308,-77.0315,2010-09-20,2022-07-28,204876
10,10,31105.0,14th & Harvard St NW,38.9268,-77.0322,2010-09-20,2022-07-28,157407
11,11,31101.0,14th & V St NW,38.917931,-77.032112,2010-09-20,2022-07-28,337653
12,12,31103.0,16th & Harvard St NW,38.926124,-77.035421,2010-09-20,2022-07-28,229152
13,13,31206.0,19th & E Street NW,38.8952,-77.0436,2010-09-20,2022-07-28,55673
14,14,31002.0,20th & Crystal Dr,38.856425,-77.049232,2010-09-20,2022-07-28,56333
15,15,31205.0,21st & I St NW,38.90071062547463,-77.04644858837128,2010-09-20,2022-07-28,176442
16,16,31201.0,15th & P St NW,38.909801,-77.034427,2010-09-20,2022-07-28,432243
17,17,31009.0,27th & Crystal Dr,38.848466,-77.051514,2010-09-20,2022-07-28,45605
18,18,31106.0,Calvert & Biltmore St NW,38.923203,-77.047637,2010-09-20,2022-07-28,114237
19,19,31200.0,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,2010-09-20,2022-07-28,506897
20,20,31104.0,Adams Mill & Columbia Rd NW,38.922925,-77.042581,2010-09-20,2022-07-28,263443
21,21,31011.0,23rd & Crystal Dr,38.852929,-77.049723,2010-09-20,2022-07-28,51700
22,22,31000.0,Eads St & 15th St S,38.858971,-77.05323,2010-09-20,2022-07-28,19540
23,23,31202.0,14th & R St NW,38.913046,-77.032008,2010-09-20,2022-07-28,251145
24,24,31212.0,21st & M St NW,38.90534,-77.046774,2010-09-20,2022-07-28,238344
25,25,31003.0,15th & Crystal Dr,38.86017,-77.049593,2010-09-20,2022-07-28,46874
26,26,31802.0,Good Hope Rd & MLK Ave SE,38.867373,-76.988039,2010-09-20,2022-07-28,13434
27,27,31108.0,4th & M St SW,38.8767,-77.0178,2010-09-20,2022-07-28,218960
28,28,31203.0,14th & Rhode Island Ave NW,38.9086,-77.0323,2010-09-20,2022-07-28,281978
29,29,31204.0,20th & E St NW,38.8963,-77.045,2010-09-20,2022-07-28,130494
30,30,31001.0,18th & Eads St.,38.85725,-77.05332,2010-09-20,2021-08-28,26238
31,31,31110.0,20th St & Florida Ave NW,38.9154,-77.0446,2010-09-20,2022-07-28,251295
32,32,31401.0,14th St & Spring Rd NW,38.9375,-77.0328,2010-09-20,2022-07-28,104871
33,33,31207.0,Georgia Ave and Fairmont St NW,38.9249,-77.0222,2010-09-20,2022-07-28,53743
34,34,31005.0,Pentagon City Metro / 12th & S Hayes St,38.862303,-77.059936,2010-09-20,2022-07-28,57569
35,35,31400.0,Georgia & New Hampshire Ave NW,38.936684,-77.024181,2010-09-20,2022-07-28,130494
36,36,31107.0,Lamont & Mt Pleasant NW,38.9319,-77.0388,2010-09-20,2022-07-28,181116
37,37,31010.0,S Glebe & Potomac Ave,38.8426,-77.0502,2010-09-20,2022-07-28,39631
38,38,31007.0,Crystal City Metro / 18th & Bell St,38.857785,-77.051698,2010-09-20,2022-07-28,99145
39,39,31012.0,26th & S Clark St,38.850688,-77.05152,2010-09-20,2022-07-28,22503
40,40,31006.0,S Joyce & Army Navy Dr,38.863314,-77.063416,2010-09-20,2022-07-28,42327
41,41,31004.0,Aurora Hills Community Ctr/18th & Hayes St,38.857866,-77.05949,2010-09-20,2022-07-28,24479
42,43,31502.0,John McCormack Dr & Michigan Ave NE,38.9346,-76.9955,2010-09-21,2022-07-28,29879
43,44,31213.0,17th & K St NW,38.90276,-77.03863,2010-09-21,2022-07-28,210944
44,45,31604.0,3rd & H St NW,38.899408,-77.015289,2010-09-21,2022-07-28,127260
45,46,31801.0,Anacostia Metro,38.862669,-76.994637,2010-09-22,2022-07-28,16389
46,47,31605.0,3rd & D St SE,38.8851,-77.0023,2010-09-22,2022-07-28,133470
47,48,31607.0,14th & D St SE,38.88291548476762,-76.98790669441223,2010-09-22,2022-07-28,98504
48,49,31606.0,Potomac & Pennsylvania Ave SE,38.8803,-76.9862,2010-09-22,2022-07-28,106633
49,50,31013.0,Eads & 22nd St S,38.854381,-77.053412,2010-09-23,2022-07-28,28400
