"GEO_ID","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Geographic Area Name"
"1400000US11001000100","4784","496","4224","458","90","102","94","132","178","106","0","132","169","201","29","43","0","132","29","43","Census Tract 1, District of Columbia, District of Columbia"
"1400000US11001000201","4227","678","3580","613","246","95","0","132","374","123","0","132","14","22","13","22","0","132","13","22","Census Tract 2.01, District of Columbia, District of Columbia"
"1400000US11001000202","4553","485","4207","463","88","55","0","132","170","90","0","132","0","132","88","66","15","23","73","62","Census Tract 2.02, District of Columbia, District of Columbia"
"1400000US11001000300","5664","564","4938","541","106","96","132","104","327","169","14","24","112","132","35","42","0","132","35","42","Census Tract 3, District of Columbia, District of Columbia"
"1400000US11001000400","1296","159","1224","169","17","18","0","132","48","50","0","132","0","132","7","12","0","132","7","12","Census Tract 4, District of Columbia, District of Columbia"
"1400000US11001000501","3388","273","2971","287","85","94","23","36","210","94","0","132","19","30","80","69","19","29","61","64","Census Tract 5.01, District of Columbia, District of Columbia"
"1400000US11001000502","3241","237","2600","258","124","81","11","19","312","190","0","132","112","125","82","56","13","20","69","53","Census Tract 5.02, District of Columbia, District of Columbia"
"1400000US11001000600","4777","572","3939","404","388","218","0","132","271","129","7","16","71","82","101","86","0","132","101","86","Census Tract 6, District of Columbia, District of Columbia"
"1400000US11001000701","4585","284","3809","314","249","138","0","132","260","145","0","132","45","70","222","208","22","38","200","209","Census Tract 7.01, District of Columbia, District of Columbia"
"1400000US11001000702","3106","280","2417","254","217","170","0","132","322","199","0","132","102","107","48","46","0","132","48","46","Census Tract 7.02, District of Columbia, District of Columbia"
"1400000US11001000801","6286","462","5378","444","141","102","0","132","449","178","0","132","96","132","222","155","47","38","175","152","Census Tract 8.01, District of Columbia, District of Columbia"
"1400000US11001000802","2595","189","2282","181","77","72","0","132","108","82","0","132","0","132","128","134","0","132","128","134","Census Tract 8.02, District of Columbia, District of Columbia"
"1400000US11001000901","7789","800","6828","733","268","153","105","141","434","177","0","132","38","40","116","71","0","132","116","71","Census Tract 9.01, District of Columbia, District of Columbia"
