"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia","2423","189","91.2","3.6","1.2","1.4","1.2","1.4","4.7","3.1","0.0","1.4","0.7","1.0","1.0","1.7","2.6","2.2","89.3","4.1","6.9","3.6","40.6","6.8","31.7","4.9","20.7","4.1","1056","198","42.5","9.5","57.5","9.5","93.1","6.3","6.9","6.3","0.0","3.3","1367","190","59.0","9.1","47.2","9.2","11.9","5.5","41.0","9.1","27.9","8.5","13.1","7.3","35.1","(X)","29.2","(X)","39.7","(X)","146161","29608","153298","31082","-","**","-","**","127411","69376","-","**","-","**","-","**","162206","254757","146071","32817","100732","16388","153936","28493","187147","46669","103235","40065","250,000+","***","250,000+","***","231375","56990","250,000+","***","121250","15678","-","**","100359","23034","100083","35796","64526","43223","140800","69260","100536","23927","85074","28634","101514","47407","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","12","-","**","-","**","-","**","-","**","-","**","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","-","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia","1765","152","94.7","2.7","1.2","1.3","0.0","2.0","2.6","2.3","0.0","2.0","0.0","2.0","1.5","1.4","7.3","4.0","88.1","4.6","10.9","4.6","32.6","5.7","36.0","6.0","20.5","3.7","680","117","34.6","9.0","65.4","9.0","87.8","6.6","11.5","6.2","0.7","1.5","1085","169","49.7","9.4","31.4","8.1","18.2","7.6","50.3","9.4","33.4","10.1","17.0","7.5","25.1","(X)","17.6","(X)","28.4","(X)","149375","22147","153611","21925","-","**","-","**","56250","114790","-","**","-","**","56364","44679","147969","211492","153750","21591","27679","21102","156406","38424","182616","19349","124727","24338","190250","41818","190875","43060","186932","109373","203906","56864","132283","92954","-","**","101354","42712","96563","47328","97188","55379","84318","102467","102292","62450","114808","54260","70333","82303","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia","2493","139","88.3","3.8","2.0","1.9","0.5","0.8","6.2","2.7","0.0","1.4","0.6","0.9","2.4","2.1","8.2","4.3","82.8","4.7","9.0","4.3","45.0","5.9","29.4","4.6","16.6","4.0","1115","183","49.1","10.4","50.9","10.4","84.6","8.5","10.8","7.9","4.7","4.0","1378","224","68.4","8.7","53.6","9.7","14.8","5.1","31.6","8.7","15.0","6.3","16.6","8.1","30.4","(X)","29.2","(X)","30.5","(X)","111289","26892","125250","41182","38813","77793","-","**","53833","47871","-","**","-","**","83684","102983","39438","54650","128295","44132","38487","5467","147625","71638","158255","28436","56771","82134","190813","28418","198846","36430","177404","48874","199880","25736","158962","18571","78167","71080","56313","10914","55678","9155","54333","17746","56923","15176","60735","27155","56131","12008","80809","72803","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia","603","65","90.5","5.2","3.0","3.5","0.0","5.6","2.8","2.7","0.0","5.6","0.0","5.6","3.6","3.1","8.8","5.7","81.8","8.0","2.5","2.5","28.4","8.3","36.3","6.8","32.8","6.1","391","55","31.2","7.5","68.8","7.5","90.5","6.7","7.2","5.7","2.3","2.8","212","58","54.7","16.5","38.7","14.3","16.0","10.7","45.3","16.5","20.8","16.1","24.5","15.3","33.8","(X)","30.2","(X)","38.7","(X)","233250","44504","236250","45011","-","**","-","**","70250","32912","-","**","-","**","121500","143506","201607","154092","239821","50289","49750","7552","108274","35020","250,000+","***","225750","73923","250,000+","***","250,000+","***","250,000+","***","250,000+","***","-","**","-","**","71000","53679","55000","16677","51250","26680","71500","155132","108125","72056","59091","6202","201786","142143","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia","1954","143","83.3","7.3","2.7","2.5","4.9","5.8","6.1","3.7","0.0","1.8","0.0","1.8","3.1","2.7","6.9","4.4","79.5","7.9","7.5","3.6","66.5","7.5","18.6","4.2","7.5","4.2","460","147","34.6","15.6","65.4","15.6","87.2","11.5","12.8","11.5","0.0","7.3","1494","170","49.9","10.3","36.5","9.3","13.4","7.1","50.1","10.3","46.9","10.9","3.1","2.9","11.7","(X)","10.7","(X)","10.9","(X)","95556","17527","102540","13658","108750","117799","-","**","80556","41226","-","**","-","**","48571","82010","47976","87296","102944","12111","36731","51317","101313","18657","111023","70413","102333","398486","165156","60224","192837","82065","141641","51134","191908","60770","4607","26040","-","**","87857","22248","100286","29698","70833","46178","108164","5332","73587","29664","64983","35379","134141","128778","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia","1647","107","85.9","5.2","5.4","2.6","0.0","2.1","6.1","4.5","0.0","2.1","0.0","2.1","2.6","2.1","9.2","4.3","77.9","5.9","3.2","2.0","44.6","4.7","31.3","4.7","20.9","4.1","520","78","50.0","8.4","50.0","8.4","96.9","3.7","3.1","3.7","0.0","6.5","1127","118","58.9","7.9","43.2","7.6","15.7","6.5","41.1","7.9","27.7","7.0","13.4","5.2","21.8","(X)","16.3","(X)","24.3","(X)","115216","14465","123203","11385","75481","20634","-","**","83266","112501","-","**","-","**","66979","61551","70469","27639","125219","8164","45000","25770","115536","12924","151346","36264","98646","28014","244000","43172","250,000+","***","197813","49125","250,000+","***","-","**","-","**","82250","11758","88889","36426","55469","24489","109851","8477","79861","9824","73676","11649","131146","44802","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia","2092","135","88.0","5.4","4.1","3.8","0.0","1.7","5.9","3.2","0.3","0.9","0.9","1.3","0.8","1.4","8.0","4.5","83.3","5.8","5.7","3.8","30.9","5.4","40.3","5.6","23.1","4.5","836","133","38.0","8.4","62.0","8.4","89.7","6.9","10.3","6.9","0.0","4.1","1256","173","60.7","8.8","41.7","9.6","19.0","9.2","39.3","8.8","27.5","8.7","11.7","6.8","24.1","(X)","20.7","(X)","25.3","(X)","125921","14240","128667","25072","6325","173406","-","**","91369","55364","-","**","-","**","-","**","17188","140039","131818","38966","3250","1964","103145","12218","155804","56965","158839","96412","249524","33828","250,000+","***","244100","27934","250,000+","***","121667","47319","-","**","81571","24491","79196","29692","66071","45475","83661","42004","95391","36088","96250","30096","61691","366406","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia","3275","203","85.6","4.3","2.8","1.8","0.0","1.1","8.9","4.2","0.0","1.1","0.0","1.1","2.8","2.1","6.0","3.5","80.2","5.6","2.1","1.9","42.9","5.9","28.2","5.8","26.7","4.7","950","186","33.4","15.1","66.6","15.1","91.9","6.1","8.1","6.1","0.0","3.6","2325","234","73.8","6.5","70.3","6.9","3.6","2.7","26.2","6.5","23.3","6.6","2.8","3.2","20.0","(X)","17.8","(X)","20.9","(X)","70515","17431","78073","14196","48250","10978","-","**","40625","7001","-","**","-","**","80881","21868","96691","53954","77969","16353","39722","8681","63846","16760","104271","36806","75577","33891","82358","54158","80767","63428","105766","47942","101058","45463","70515","56738","-","**","60259","16395","62382","20628","62075","18179","94125","141686","50833","21953","44138","11391","104512","226438","(X)","(X)","(X)","(X)","(X)","(X)"
