"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"5184","514","4734","544","44","55","13","21","301","131","0","12","51","54","41","47","0","12","41","47","1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia"
"3844","755","2736","621","402","192","0","12","517","170","0","12","17","28","172","114","34","40","138","106","1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia"
"4551","625","4004","587","172","88","9","19","231","115","0","12","26","25","109","60","6","13","103","61","1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia"
"6079","646","5275","587","74","80","61","60","395","214","32","53","70","81","172","130","70","99","102","85","1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia"
"1527","184","1234","159","93","77","0","12","121","78","0","12","0","12","79","57","0","12","79","57","1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia"
"3361","514","2782","448","127","71","125","127","182","99","0","12","0","12","145","88","37","44","108","85","1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia"
"3107","237","2676","244","118","64","0","12","159","84","0","12","46","41","108","67","36","41","72","56","1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia"
"4537","414","3685","382","411","194","0","12","275","116","0","12","46","61","120","111","66","94","54","59","1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia"
"5236","433","4365","425","183","117","0","12","384","163","0","12","42","62","262","232","62","65","200","220","1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia"
"3384","330","2740","380","183","126","20","34","213","151","0","12","176","112","52","49","16","25","36","44","1400000US11001000702","Census Tract 7.02, District of Columbia, District of Columbia"
