geoid,2010 median income,2010 median income margin of error,2010 race: total households,2010 race: total households margin of error,2010 race: White,2010 race: Black,2010 race: Asian,2010 race: Other,2010 race: 2 or more races,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
11001000100,109947,21944,4784,496,4224,90,178,169,29,136842,25451,4802,631,4238,29,249,146,27,134712,31202,5040,604,4524,27,266,119,23,146161,29608,4999,503,4552,63,230,43,25,170338,19870,5184,514,4734,44,301,51,41,175048,30804,5209,403,4784,66,256,53,38,167188,20715,5005,401,4645,53,199,24,84,168477,18266,5170,350,4665,53,296,53,103,191146,25411,5160,480,4554,34,320,128,124,192727,26235,4888,332,4256,33,296,212,91
11001000201,-,**,4227,678,3580,246,374,14,13,-,**,4216,764,3476,307,385,14,34,-,**,4074,535,3079,323,500,16,156,-,**,3909,495,2924,347,474,7,157,-,**,3844,755,2736,402,517,17,172,-,**,3685,384,2653,295,508,33,196,-,**,3733,361,2607,309,574,23,220,-,**,3682,568,2659,294,506,58,158,-,**,3817,700,2456,353,721,62,219,-,**,3922,532,2580,245,831,53,181
11001000202,120114,15275,4553,485,4207,88,170,0,88,135893,24431,4819,617,4399,121,141,15,143,141603,20984,4976,591,4452,108,235,32,135,149375,22147,4866,618,4266,173,258,25,132,152256,20082,4551,625,4004,172,231,26,109,153705,15708,4817,560,4082,358,221,24,124,161378,21166,4417,556,3659,341,266,20,121,162981,34754,4473,600,3680,327,226,93,147,170987,28290,4541,688,3623,296,287,118,162,205326,47839,4709,553,3872,301,262,101,157
11001000300,101250,19492,5664,564,4938,106,327,112,35,99063,20378,5386,588,4732,98,289,122,47,105500,27494,5399,559,4825,84,210,120,79,111289,26892,5909,644,5200,77,341,61,144,135045,37417,6079,646,5275,74,395,70,172,125078,15785,6095,625,5149,363,346,24,200,131127,13777,6139,632,5074,413,444,0,190,133008,16653,6374,569,5230,467,513,0,164,152120,21528,6334,530,5300,462,470,0,102,147431,17481,6585,536,5337,559,529,41,119
11001000400,158580,54604,1296,159,1224,17,48,0,7,182578,72799,1433,185,1313,36,72,0,12,195938,73545,1514,143,1321,67,97,0,29,233250,44504,1507,187,1274,85,111,0,37,225179,68500,1527,184,1234,93,121,0,79,178750,67039,1578,147,1265,89,130,21,73,181406,47481,1607,159,1269,79,149,28,82,143229,43708,1489,131,1202,62,146,23,56,126731,38147,1428,133,1238,43,89,21,37,140536,39542,1413,179,1225,31,101,18,38
11001000501,87415,9769,3388,273,2971,85,210,19,80,89191,9588,3431,300,3053,61,145,0,130,80900,15573,3231,313,2745,98,146,0,82,95556,17527,3357,456,2720,133,210,0,145,100109,14487,3361,514,2782,127,182,0,145,107448,6566,3502,338,2855,155,149,103,153,102398,9918,3481,286,2897,108,146,165,103,109081,11144,3632,314,3073,176,128,141,114,116303,11791,3545,295,2943,162,82,271,87,125972,29956,3434,317,2654,258,260,195,67
11001000502,95694,16112,3241,237,2600,124,312,112,82,104375,20401,3260,200,2756,147,181,57,110,108182,23772,3076,211,2610,111,205,46,96,115216,14465,3030,219,2621,105,154,49,101,113688,13958,3107,237,2676,118,159,46,108,114152,12619,2973,205,2560,124,164,40,85,119650,16003,3045,195,2612,103,166,34,114,129779,13138,3296,184,2855,120,128,60,95,142750,14125,3371,263,2985,106,121,56,66,150104,18781,3396,245,2966,121,106,55,100
11001000600,115648,15509,4777,572,3939,388,271,71,101,113922,17880,4580,629,3679,509,242,29,118,120045,13869,4472,450,3629,356,319,33,134,125921,14240,4479,345,3756,295,264,44,113,155031,27778,4537,414,3685,411,275,46,120,158625,52588,4722,335,3824,475,203,62,158,203529,61725,4848,317,4017,406,232,46,147,221103,33712,4998,365,4086,386,288,65,173,177759,56705,4969,338,4042,446,291,52,138,150804,13806,4966,332,3962,385,334,133,152
11001000701,79649,8297,4585,284,3809,249,260,45,222,81039,7196,4481,364,3330,240,572,41,298,82379,9172,4478,350,3400,222,376,0,480,70515,17431,4915,433,3963,121,571,0,260,78040,15034,5236,433,4365,183,384,42,262,80223,11432,5245,490,4030,357,438,96,324,82054,7909,5325,489,4298,349,247,100,304,89889,12454,5643,394,4388,474,380,152,197,98750,17309,5873,433,4504,553,425,124,213,103162,11653,5786,502,4205,584,668,70,209
11001000702,63794,9295,3106,280,2417,217,322,102,48,66352,8722,3426,314,2804,77,310,145,54,64113,3200,3184,256,2675,150,126,135,70,70033,6360,3286,306,2727,165,118,210,43,71032,6423,3384,330,2740,183,213,176,52,72346,13388,3316,391,2779,175,225,80,49,70718,9371,3356,331,2573,283,246,104,130,71671,5618,3318,267,2556,189,319,108,126,69292,6996,3355,380,2561,218,312,103,136,68961,9669,2972,350,2244,241,248,79,137
11001000801,114732,12473,6286,462,5378,141,449,96,222,118569,14494,6763,451,5776,147,429,250,161,120313,9152,7064,687,5853,312,314,316,269,119641,12728,6517,612,5340,402,270,156,349,135119,41367,6738,586,5415,429,321,226,331,121265,32594,6575,558,5215,363,295,336,347,145592,46797,6740,599,5389,464,326,217,320,148456,42354,6267,488,5056,335,348,173,328,144922,29667,6426,511,4961,534,386,165,350,160282,25766,6195,439,4760,568,448,168,251
11001000802,92000,25595,2595,189,2282,77,108,0,128,92384,25038,2575,228,2189,173,55,10,148,115230,25179,2552,250,2192,164,38,9,149,113523,24841,2653,293,2231,145,143,10,124,91037,12951,3077,297,2477,248,165,15,172,91307,14112,3153,305,2350,342,289,40,132,93750,19182,3213,350,2525,244,295,38,111,99808,32972,3476,308,2682,267,343,31,153,114091,27335,3567,318,2658,321,292,80,216,138295,43726,3470,357,2636,305,264,77,188
