"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"5068","641","2233","593","2328","570","0","16","232","235","0","16","69","60","206","124","33","38","173","114","1400000US17031010100","Census Tract 101, Cook County, Illinois"
"7316","809","2809","719","3399","686","10","17","362","227","0","16","541","377","195","138","35","30","160","133","1400000US17031010201","Census Tract 102.01, Cook County, Illinois"
"2583","380","1357","373","832","207","9","14","46","44","15","24","167","149","157","97","74","73","83","68","1400000US17031010202","Census Tract 102.02, Cook County, Illinois"
"6065","741","3212","501","1606","483","6","14","858","530","0","16","284","224","99","73","19","31","80","62","1400000US17031010300","Census Tract 103, Cook County, Illinois"
"4694","488","3431","405","682","211","0","11","313","185","0","11","119","83","149","83","9","19","140","82","1400000US17031010400","Census Tract 104, Cook County, Illinois"
"3816","415","2355","329","1120","308","0","11","146","86","0","11","1","2","194","132","0","11","194","132","1400000US17031010501","Census Tract 105.01, Cook County, Illinois"
"3760","608","2237","593","584","158","0","11","567","639","0","11","247","225","125","85","22","35","103","78","1400000US17031010502","Census Tract 105.02, Cook County, Illinois"
"2325","424","1708","452","226","119","0","11","290","133","0","11","8","18","93","84","45","70","48","48","1400000US17031010503","Census Tract 105.03, Cook County, Illinois"
"6946","660","3627","557","2515","735","7","18","98","132","0","16","288","234","411","346","0","16","411","346","1400000US17031010600","Census Tract 106, Cook County, Illinois"
"3943","420","2377","402","684","210","0","11","106","86","0","11","668","373","108","70","0","11","108","70","1400000US17031010701","Census Tract 107.01, Cook County, Illinois"
"5520","681","2896","630","1192","378","0","16","201","132","0","16","1058","628","173","141","0","16","173","141","1400000US17031010702","Census Tract 107.02, Cook County, Illinois"
"4182","479","1727","456","1549","510","0","11","853","567","0","11","0","11","53","62","0","11","53","62","1400000US17031020100","Census Tract 201, Cook County, Illinois"
"6556","818","4646","827","387","375","0","16","1344","301","0","16","70","106","109","104","0","16","109","104","1400000US17031020200","Census Tract 202, Cook County, Illinois"
"5233","483","4150","486","268","174","35","31","474","203","0","16","175","246","131","154","12","21","119","153","1400000US17031020301","Census Tract 203.01, Cook County, Illinois"
"4514","610","3075","595","525","306","0","11","643","342","0","11","216","173","55","62","14","24","41","57","1400000US17031020302","Census Tract 203.02, Cook County, Illinois"
"4380","431","2626","471","693","200","118","190","608","214","0","11","254","172","81","85","0","11","81","85","1400000US17031020400","Census Tract 204, Cook County, Illinois"
"6044","660","2568","516","1241","406","0","16","1187","409","1","44","631","507","416","374","31","50","385","377","1400000US17031020500","Census Tract 205, Cook County, Illinois"
"6595","756","4203","686","416","302","37","56","1140","311","0","16","474","248","325","198","104","116","221","167","1400000US17031020601","Census Tract 206.01, Cook County, Illinois"
"3932","456","1497","400","393","220","0","11","1201","374","0","11","694","396","147","183","33","52","114","177","1400000US17031020602","Census Tract 206.02, Cook County, Illinois"
"1920","380","1201","303","149","191","84","119","340","161","0","11","64","74","82","72","82","72","0","11","1400000US17031020701","Census Tract 207.01, Cook County, Illinois"
"8010","933","4209","997","123","102","18","29","3009","794","0","16","267","235","384","225","193","172","191","242","1400000US17031020702","Census Tract 207.02, Cook County, Illinois"
"4797","768","3186","718","67","68","0","11","704","354","0","11","520","433","320","272","41","65","279","268","1400000US17031020801","Census Tract 208.01, Cook County, Illinois"
"7251","1078","2520","861","351","394","0","16","3759","1342","0","16","434","520","187","174","0","16","187","174","1400000US17031020802","Census Tract 208.02, Cook County, Illinois"
"5363","759","2417","504","807","287","16","27","1505","768","0","16","473","467","145","119","0","16","145","119","1400000US17031020901","Census Tract 209.01, Cook County, Illinois"
"4528","511","2575","391","841","325","0","11","1068","402","0","11","18","27","26","28","0","11","26","28","1400000US17031020902","Census Tract 209.02, Cook County, Illinois"
"3855","329","2269","314","751","312","9","19","384","197","0","11","312","335","130","92","0","11","130","92","1400000US17031030101","Census Tract 301.01, Cook County, Illinois"
"3101","389","1825","356","615","203","47","53","337","146","0","11","118","91","159","116","44","73","115","92","1400000US17031030102","Census Tract 301.02, Cook County, Illinois"
"2138","364","1327","356","293","159","4","7","267","127","0","11","220","203","27","27","8","15","19","17","1400000US17031030103","Census Tract 301.03, Cook County, Illinois"
"3536","447","1958","409","586","226","0","11","559","210","13","25","114","77","306","217","64","65","242","237","1400000US17031030104","Census Tract 301.04, Cook County, Illinois"
"5709","613","4666","578","484","245","0","16","311","128","0","16","153","164","95","85","0","16","95","85","1400000US17031030200","Census Tract 302, Cook County, Illinois"
"2931","368","1865","365","379","195","57","92","245","74","0","11","370","216","15","22","15","22","0","11","1400000US17031030300","Census Tract 303, Cook County, Illinois"
"2589","250","1773","273","279","163","0","11","214","127","0","11","186","138","137","79","50","49","87","63","1400000US17031030400","Census Tract 304, Cook County, Illinois"
"6588","626","4805","576","459","209","0","16","611","266","0","16","593","356","120","94","25","29","95","87","1400000US17031030500","Census Tract 305, Cook County, Illinois"
"3169","383","1882","315","690","322","0","11","472","260","0","11","34","45","91","72","32","53","59","49","1400000US17031030601","Census Tract 306.01, Cook County, Illinois"
"2123","341","869","164","777","266","0","11","359","295","0","11","42","47","76","68","8","14","68","67","1400000US17031030603","Census Tract 306.03, Cook County, Illinois"
"2860","259","1503","214","500","111","0","11","772","220","0","11","17","26","68","61","14","22","54","56","1400000US17031030604","Census Tract 306.04, Cook County, Illinois"
"1973","255","856","201","388","130","0","11","555","202","0","11","12","21","162","217","0","11","162","217","1400000US17031030701","Census Tract 307.01, Cook County, Illinois"
"1538","241","1193","236","53","44","0","11","292","160","0","11","0","11","0","11","0","11","0","11","1400000US17031030702","Census Tract 307.02, Cook County, Illinois"
"2620","248","1826","235","437","145","0","11","273","127","0","11","32","41","52","67","21","34","31","58","1400000US17031030703","Census Tract 307.03, Cook County, Illinois"
"3339","282","1915","313","663","217","0","11","404","137","0","11","110","94","247","136","104","99","143","103","1400000US17031030706","Census Tract 307.06, Cook County, Illinois"
"4200","467","2892","314","115","86","0","11","535","303","0","11","276","315","382","256","16","23","366","256","1400000US17031030800","Census Tract 308, Cook County, Illinois"
"3279","365","2194","298","77","70","6","9","570","264","0","11","324","309","108","125","6","11","102","125","1400000US17031030900","Census Tract 309, Cook County, Illinois"
"3218","396","2478","368","95","69","0","11","330","187","0","11","237","313","78","78","0","11","78","78","1400000US17031031000","Census Tract 310, Cook County, Illinois"
"4228","464","2934","416","219","187","12","18","657","350","0","11","338","365","68","82","11","19","57","81","1400000US17031031100","Census Tract 311, Cook County, Illinois"
"5323","632","2439","450","1682","349","75","80","725","447","0","16","170","192","232","208","12","23","220","198","1400000US17031031200","Census Tract 312, Cook County, Illinois"
"7491","569","3516","603","1942","462","11","18","1481","316","0","16","143","187","398","186","45","63","353","184","1400000US17031031300","Census Tract 313, Cook County, Illinois"
"5216","414","4144","371","392","196","22","34","249","102","0","16","84","81","325","152","29","30","296","153","1400000US17031031400","Census Tract 314, Cook County, Illinois"
"3321","519","1478","374","991","342","0","11","723","184","0","11","87","55","42","43","26","37","16","20","1400000US17031031501","Census Tract 315.01, Cook County, Illinois"
"4532","472","1990","467","1984","379","33","38","165","87","0","11","95","106","265","255","0","11","265","255","1400000US17031031502","Census Tract 315.02, Cook County, Illinois"
"6564","558","3906","452","1692","530","0","16","508","275","0","16","364","333","94","74","0","16","94","74","1400000US17031031700","Census Tract 317, Cook County, Illinois"
"1774","137","1519","198","14","19","21","33","217","144","0","11","0","11","3","5","0","11","3","5","1400000US17031031800","Census Tract 318, Cook County, Illinois"
"2272","168","1835","176","145","91","4","19","184","99","0","11","82","69","22","24","13","20","9","13","1400000US17031031900","Census Tract 319, Cook County, Illinois"
"6968","572","5308","509","775","253","0","16","533","251","0","16","250","306","102","79","21","34","81","70","1400000US17031032100","Census Tract 321, Cook County, Illinois"
"4074","404","3099","422","309","153","79","106","284","199","0","11","228","144","75","54","0","11","75","54","1400000US17031040100","Census Tract 401, Cook County, Illinois"
"5679","596","4743","581","74","78","0","16","541","260","0","16","176","152","145","107","24","38","121","91","1400000US17031040201","Census Tract 402.01, Cook County, Illinois"
"6816","808","3969","750","616","397","0","16","1382","532","0","16","655","531","194","157","12","23","182","156","1400000US17031040202","Census Tract 402.02, Cook County, Illinois"
"2545","306","1565","294","196","226","32","54","648","245","0","11","17","25","87","71","32","49","55","52","1400000US17031040300","Census Tract 403, Cook County, Illinois"
"2982","307","2126","262","65","73","24","25","223","109","25","39","448","235","71","65","8","12","63","61","1400000US17031040401","Census Tract 404.01, Cook County, Illinois"
"4431","393","3509","382","230","188","0","11","597","363","0","11","14","23","81","70","0","11","81","70","1400000US17031040402","Census Tract 404.02, Cook County, Illinois"
"2529","333","2166","305","79","70","0","11","120","84","0","11","136","145","28","48","0","11","28","48","1400000US17031040600","Census Tract 406, Cook County, Illinois"
"3168","328","2709","308","75","87","0","11","201","123","0","11","152","96","31","30","0","11","31","30","1400000US17031040700","Census Tract 407, Cook County, Illinois"
"1766","178","1432","137","60","77","49","56","121","78","0","11","26","26","78","51","0","11","78","51","1400000US17031040800","Census Tract 408, Cook County, Illinois"
"2174","193","1846","217","1","2","0","11","119","82","0","11","110","123","98","102","0","11","98","102","1400000US17031040900","Census Tract 409, Cook County, Illinois"
"2558","287","2376","284","46","37","0","11","85","72","0","11","20","22","31","28","0","11","31","28","1400000US17031050100","Census Tract 501, Cook County, Illinois"
"5072","465","4185","495","174","131","0","16","205","159","0","16","423","304","85","55","0","16","85","55","1400000US17031050200","Census Tract 502, Cook County, Illinois"
"2531","257","2220","216","15","25","50","57","170","93","0","11","0","11","76","42","7","11","69","38","1400000US17031050300","Census Tract 503, Cook County, Illinois"
"5204","486","4672","523","32","29","0","16","111","83","0","16","74","96","315","203","0","16","315","203","1400000US17031050500","Census Tract 505, Cook County, Illinois"
"2503","275","2258","265","55","69","0","11","123","98","0","11","8","14","59","54","19","24","40","51","1400000US17031050600","Census Tract 506, Cook County, Illinois"
"1488","122","1408","114","17","25","0","11","20","23","0","11","26","26","17","19","6","11","11","15","1400000US17031050700","Census Tract 507, Cook County, Illinois"
"1349","151","1236","163","5","8","16","26","64","41","0","11","8","13","20","18","0","11","20","18","1400000US17031050800","Census Tract 508, Cook County, Illinois"
"1644","216","1536","215","0","11","12","19","65","30","0","11","14","16","17","17","0","11","17","17","1400000US17031050900","Census Tract 509, Cook County, Illinois"
"1551","149","1318","144","25","29","0","11","137","67","0","11","71","81","0","11","0","11","0","11","1400000US17031051000","Census Tract 510, Cook County, Illinois"
"1683","198","1420","214","104","84","0","11","60","40","0","11","55","88","44","36","0","11","44","36","1400000US17031051100","Census Tract 511, Cook County, Illinois"
"1630","160","1390","169","102","94","7","12","100","109","0","11","0","11","31","49","31","49","0","11","1400000US17031051200","Census Tract 512, Cook County, Illinois"
"2730","310","2515","306","53","46","0","11","32","25","0","11","71","71","59","37","0","11","59","37","1400000US17031051300","Census Tract 513, Cook County, Illinois"
"2373","340","2016","352","67","70","0","11","46","35","0","11","74","55","170","138","14","22","156","138","1400000US17031051400","Census Tract 514, Cook County, Illinois"
"2582","219","2352","232","160","131","0","11","21","34","0","11","28","41","21","31","5","20","16","26","1400000US17031060100","Census Tract 601, Cook County, Illinois"
"1835","238","1567","212","68","52","0","11","103","140","0","11","70","59","27","32","0","11","27","32","1400000US17031060200","Census Tract 602, Cook County, Illinois"
"3270","363","3155","374","10","15","8","14","97","60","0","11","0","11","0","11","0","11","0","11","1400000US17031060300","Census Tract 603, Cook County, Illinois"
"4162","473","3929","491","0","11","20","31","143","113","0","11","12","19","58","51","0","11","58","51","1400000US17031060400","Census Tract 604, Cook County, Illinois"
"1157","126","934","118","43","32","9","14","135","58","0","11","8","13","28","26","5","8","23","25","1400000US17031060500","Census Tract 605, Cook County, Illinois"
"4834","388","3854","313","248","150","0","11","550","152","0","11","121","86","61","71","13","24","48","77","1400000US17031060800","Census Tract 608, Cook County, Illinois"
"6557","706","5182","684","395","308","124","130","352","180","0","16","190","204","314","148","0","16","314","148","1400000US17031060900","Census Tract 609, Cook County, Illinois"
"1672","165","1435","170","25","26","0","11","159","112","0","11","22","31","31","26","10","16","21","21","1400000US17031061000","Census Tract 610, Cook County, Illinois"
"1253","195","1190","187","0","11","10","10","53","51","0","11","0","11","0","11","0","11","0","11","1400000US17031061100","Census Tract 611, Cook County, Illinois"
"2296","256","2029","223","32","32","10","16","99","80","0","11","7","9","119","136","0","11","119","136","1400000US17031061200","Census Tract 612, Cook County, Illinois"
"2028","268","1872","264","28","43","0","11","60","38","0","11","33","41","35","38","0","11","35","38","1400000US17031061500","Census Tract 615, Cook County, Illinois"
"1145","124","1023","117","13","21","0","11","76","61","4","7","13","14","16","13","0","11","16","13","1400000US17031061800","Census Tract 618, Cook County, Illinois"
"3767","396","3069","449","139","146","12","21","409","223","16","29","47","44","75","63","14","22","61","58","1400000US17031061901","Census Tract 619.01, Cook County, Illinois"
"3891","335","3250","325","197","130","0","11","269","128","0","11","15","24","160","101","16","25","144","99","1400000US17031061902","Census Tract 619.02, Cook County, Illinois"
"2762","234","2409","235","139","114","0","11","122","52","0","11","21","22","71","49","0","11","71","49","1400000US17031062000","Census Tract 620, Cook County, Illinois"
"3313","434","2782","426","27","28","0","11","421","197","0","11","32","40","51","37","8","13","43","35","1400000US17031062100","Census Tract 621, Cook County, Illinois"
"3085","285","2767","269","42","36","0","11","140","72","0","11","76","79","60","57","0","11","60","57","1400000US17031062200","Census Tract 622, Cook County, Illinois"
"1668","117","1557","129","0","11","0","11","59","34","0","11","3","7","49","48","0","11","49","48","1400000US17031062300","Census Tract 623, Cook County, Illinois"
"1709","199","1558","194","25","19","0","11","104","64","0","11","17","21","5","8","0","11","5","8","1400000US17031062400","Census Tract 624, Cook County, Illinois"
"1246","152","1150","152","0","11","0","11","56","28","0","11","17","20","23","21","0","11","23","21","1400000US17031062500","Census Tract 625, Cook County, Illinois"
"2272","172","1995","192","21","20","0","11","182","87","0","11","5","8","69","43","18","20","51","36","1400000US17031062600","Census Tract 626, Cook County, Illinois"
"2696","244","2433","257","24","27","0","11","6","11","0","11","102","128","131","80","8","13","123","80","1400000US17031062700","Census Tract 627, Cook County, Illinois"
"3630","318","3116","323","131","107","0","11","260","136","0","11","41","45","82","49","0","11","82","49","1400000US17031062800","Census Tract 628, Cook County, Illinois"
"4278","426","3988","449","10","17","0","11","201","163","0","11","17","27","62","72","0","11","62","72","1400000US17031062900","Census Tract 629, Cook County, Illinois"
"3275","281","2833","293","58","46","15","26","187","152","0","11","45","43","137","96","32","52","105","80","1400000US17031063000","Census Tract 630, Cook County, Illinois"
"2384","231","2022","210","63","88","0","11","176","71","0","11","47","59","76","59","0","11","76","59","1400000US17031063100","Census Tract 631, Cook County, Illinois"
"6142","540","4917","594","272","204","0","16","773","311","0","16","60","68","120","99","7","15","113","98","1400000US17031063200","Census Tract 632, Cook County, Illinois"
