"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2206","164","51.4","8.9","40.4","8.6","0.0","1.2","2.3","2.9","0.0","1.2","2.1","2.7","3.9","2.9","10.1","4.9","43.4","9.0","6.9","4.4","44.3","7.0","42.3","6.6","6.4","4.0","853","190","47.9","15.2","52.1","15.2","52.5","12.1","41.1","10.8","6.3","6.1","1353","213","47.6","10.7","40.1","10.3","7.5","6.2","52.4","10.7","43.5","10.5","8.9","6.6","27.2","(X)","36.9","(X)","21.1","(X)","29861","10047","64423","10547","21683","4945","-","**","-","**","-","**","-","**","10365","6724","73062","56343","60042","15300","-","**","47500","31949","20192","16308","-","**","58073","36182","25034","22090","64542","15544","74403","31765","21086","6393","-","**","24928","8384","30000","8863","24750","9954","115250","89362","21679","12343","17167","9984","56701","28768","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2722","151","51.0","7.0","41.0","6.8","0.7","1.2","2.5","1.8","0.0","1.0","0.6","1.0","4.1","2.8","14.1","5.5","37.9","6.2","2.9","2.4","43.0","7.5","44.5","6.5","9.7","4.3","1564","199","48.8","9.3","51.2","9.3","56.9","8.9","33.1","7.8","10.0","6.3","1158","205","46.1","10.9","37.5","10.0","8.6","5.3","53.9","10.9","31.1","9.1","22.8","10.6","33.2","(X)","39.8","(X)","24.4","(X)","38861","6013","51845","6112","28250","14064","-","**","-","**","-","**","-","**","-","**","30272","16514","64440","9869","16656","6858","42713","12814","36917","13273","-","**","39563","11846","26339","10152","51811","4747","50357","8300","15724","10277","-","**","36926","8797","30313","11229","29643","10708","-","**","51076","12306","28947","19973","68590","14360","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","991","89","43.2","7.9","41.9","8.2","1.0","1.5","5.2","3.3","0.0","2.7","7.6","4.4","1.1","1.5","21.0","6.0","33.9","8.2","4.9","3.5","41.8","8.8","35.4","8.6","17.9","5.3","406","100","40.4","11.0","59.6","11.0","52.7","11.9","40.6","13.9","6.7","6.4","585","110","45.5","11.6","39.8","11.5","5.6","4.4","54.5","11.6","42.6","11.6","12.0","7.2","41.2","(X)","38.4","(X)","42.1","(X)","29432","7208","53958","20689","21274","5042","-","**","84722","24375","-","**","36250","22445","-","**","35395","11947","55278","16308","21042","20812","50625","21635","28523","10622","23384","4329","38977","18083","33214","23378","48889","41994","73750","26041","19432","5207","68750","55631","25981","2853","29773","6698","27008","4690","90208","25306","23438","10081","18625","9703","53542","48281","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2910","189","67.6","7.0","23.5","6.1","0.0","0.9","4.4","3.0","0.0","0.9","2.0","2.6","2.4","1.8","12.9","6.6","56.5","7.7","3.0","2.1","49.0","6.8","36.1","6.2","11.9","3.6","987","202","44.4","11.1","55.6","11.1","76.1","11.6","14.2","6.9","9.7","8.8","1923","224","50.7","9.8","44.6","9.5","6.1","4.5","49.3","9.8","37.0","9.3","12.3","6.5","30.9","(X)","46.9","(X)","22.6","(X)","37515","2860","42759","14826","25026","17528","-","**","51220","31458","-","**","-","**","-","**","39178","22653","46477","16573","51354","48222","37218","5217","40327","12293","15561","4271","52409","14052","-","**","55754","10560","54440","9492","36250","29063","-","**","33401","6006","23848","6413","22617","6834","-","**","38750","16586","35336","7148","90179","35678","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1925","112","74.1","6.9","16.5","7.3","0.0","1.4","5.6","4.0","0.0","1.4","0.0","1.4","3.7","2.4","5.0","2.9","70.4","7.1","10.9","5.6","44.8","7.4","25.9","6.3","18.4","5.9","747","148","30.0","13.0","70.0","13.0","73.2","13.1","22.9","12.5","3.9","4.3","1178","142","45.2","8.2","36.6","7.8","8.7","6.5","54.8","8.2","41.3","8.1","13.5","7.2","23.2","(X)","28.6","(X)","19.8","(X)","37228","6196","45417","15737","35417","4603","-","**","-","**","-","**","-","**","44167","39468","51827","33477","39535","15130","20096","15818","45088","18249","49214","22277","35503","22480","62292","27112","76607","43691","60208","19200","76741","22023","35737","4231","-","**","28596","6810","35610","13934","35727","15243","-","**","26202","7942","22364","6506","48578","25613","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2311","153","64.6","6.0","25.7","4.8","0.0","1.2","4.3","2.5","0.0","1.2","0.5","0.9","4.8","3.3","4.8","3.9","60.3","6.4","8.5","4.6","51.7","6.6","25.1","5.6","14.6","4.6","620","158","42.4","14.8","57.6","14.8","51.0","17.9","45.8","19.1","3.2","3.9","1691","226","50.3","8.9","41.5","8.3","8.8","5.0","49.7","8.9","42.0","9.2","7.6","4.3","27.3","(X)","45.5","(X)","20.6","(X)","26750","6531","25402","9357","26628","14214","-","**","35417","27198","-","**","-","**","36161","33215","21723","4736","26667","10217","25679","8932","34479","14604","31875","28133","11875","5854","42823","17618","49614","27952","25859","23173","48682","9897","22944","13404","-","**","25310","4984","21811","8429","17188","7847","53170","18765","30380","10946","25225","9530","55592","40266","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1509","114","62.8","6.7","25.8","6.7","0.0","1.8","5.2","2.9","0.0","1.8","3.4","2.8","2.8","3.0","7.7","3.8","59.2","6.9","16.4","5.9","50.2","6.6","27.3","5.2","6.0","2.9","357","86","39.5","11.4","60.5","11.4","66.7","13.0","26.1","12.8","7.3","6.4","1152","119","46.4","8.2","30.0","7.5","16.4","6.4","53.6","8.2","37.2","8.1","16.3","6.3","18.5","(X)","22.4","(X)","17.3","(X)","29870","4328","32417","4999","27368","18613","-","**","23333","18665","-","**","29063","13744","-","**","39545","13717","31806","4734","16327","1155","36316","9165","27500","22888","41964","17997","46250","11276","29336","25627","52500","23484","53333","39445","-","**","28958","7598","27770","3549","28125","6627","26354","6514","-","**","27688","5719","28264","7696","24875","9244","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1141","96","60.9","8.8","12.4","6.3","0.0","2.4","18.3","6.0","0.0","2.4","0.6","1.0","7.7","5.5","4.5","3.5","57.1","9.5","11.8","5.0","26.7","6.9","16.3","6.1","45.1","7.6","271","87","35.4","16.7","64.6","16.7","69.7","16.7","8.5","7.7","21.8","15.8","870","104","53.4","9.5","41.5","10.3","12.0","6.3","46.6","9.5","37.2","9.8","9.3","5.0","28.7","(X)","31.7","(X)","27.8","(X)","17569","7421","32426","17862","8500","6684","-","**","13546","2655","-","**","-","**","23026","21035","-","**","26691","17756","8603","5952","57542","21240","51146","12277","9763","1631","-","**","-","**","-","**","20163","6045","-","**","-","**","12176","6061","-","**","8914","1493","-","**","14940","10806","12778","6540","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3051","164","71.5","6.2","22.4","6.9","0.0","0.9","1.9","1.6","0.0","0.9","1.5","2.1","2.7","1.9","19.3","6.7","54.0","7.4","5.7","2.7","48.7","6.5","35.6","6.7","10.0","3.9","1139","235","45.3","11.1","54.7","11.1","62.1","14.8","28.3","13.1","9.7","6.8","1912","239","38.3","9.5","30.7","9.1","7.6","5.2","61.7","9.5","47.1","10.5","14.6","5.6","27.0","(X)","39.7","(X)","19.0","(X)","43958","8545","47813","10139","40231","11242","-","**","160648","82456","-","**","-","**","-","**","30510","9496","54040","10096","17500","10637","54394","7964","36949","12825","20750","10892","68262","13638","63125","18448","70986","15572","73423","14922","54412","24258","-","**","27421","15562","19590","8065","19384","7157","-","**","41173","11609","40015","21841","76417","55323","(X)","(X)","(X)","(X)","(X)","(X)"
