geoid,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
17031010100,32191,7416,5068,641,2233,2328,232,69,206,30798,4582,4189,522,2073,1687,162,93,174,32188,6014,4106,468,2186,1586,155,66,113,29861,10047,4388,546,2216,1716,166,119,171,33750,10701,4444,444,2009,2059,33,168,175,37985,10569,4522,529,2118,2087,28,131,158,32474,13810,4599,511,2148,2078,46,172,155,42891,22191,4644,721,2430,1649,91,248,226
17031010201,39908,4643,7316,809,2809,3399,362,541,195,40532,5142,7083,924,3198,3545,148,41,135,39122,4929,7229,942,3388,3295,223,40,257,38861,6013,7032,745,3108,3348,182,25,313,40841,7069,7197,787,3634,2816,121,148,414,39549,14169,7039,804,3392,2643,148,469,372,45639,21136,7455,812,3459,2520,301,561,599,39955,23269,7488,1046,3003,2646,426,615,788
17031010202,36315,13128,2583,380,1357,832,46,167,157,25250,8850,2502,424,1099,839,248,208,84,27318,8734,2304,271,1178,674,185,185,70,29432,7208,2275,342,1097,735,196,202,35,36563,8731,2487,301,1231,743,195,285,33,38370,8966,2852,291,1265,783,323,414,38,41486,8998,2896,307,1351,982,155,333,40,43839,6338,3154,445,1282,1031,198,551,62
17031010300,43483,9770,6065,741,3212,1606,858,284,99,42606,10482,6213,842,3429,1806,741,148,84,37111,3900,6077,694,3478,1546,751,129,167,37515,2860,6205,503,3876,1623,503,70,126,36870,3386,6413,540,3859,1838,359,222,123,38866,4386,6650,514,3921,2093,150,246,229,41250,6711,6485,500,3866,2007,66,258,275,44375,16139,6135,1116,3249,1802,148,716,204
17031010400,41765,10061,4694,488,3431,682,313,119,149,38531,6618,4730,472,3427,660,395,93,155,38384,6842,5011,544,3743,660,336,95,177,37228,6196,5603,549,3921,1076,313,108,185,39634,8452,5411,566,3761,1178,295,40,137,39152,6316,5153,609,3654,995,327,67,110,39700,7145,5213,497,3691,1111,241,75,95,37198,8616,5193,684,3843,972,229,87,62
17031010501,33090,9508,3816,415,2355,1120,146,1,194,26157,9189,3831,417,2330,1190,100,17,194,25309,5673,3837,445,2503,1038,94,15,187,26750,6531,3906,372,2346,1161,173,35,191,31985,10336,4081,444,2182,1364,211,215,109,34455,6452,4147,368,2116,1399,246,272,114,39730,7131,4102,390,2037,1388,256,280,141,43097,8854,4039,762,2062,1399,277,195,106
17031010502,30057,4724,3760,608,2237,584,567,247,125,33340,8679,3690,649,2123,595,638,246,88,35822,9542,3413,651,1980,609,473,243,100,29870,4328,3045,398,2005,633,166,143,89,33721,2977,2631,247,1613,647,225,58,79,37500,6486,2802,331,1522,858,234,100,80,39388,5634,3089,322,1728,876,262,120,93,40492,7554,2960,360,1593,778,252,236,99
17031010503,21230,5537,2325,424,1708,226,290,8,93,21530,5766,2228,402,1577,217,326,12,96,19813,9923,2080,323,1425,198,337,0,120,17569,7421,2112,330,1429,213,353,7,110,19671,7134,2047,348,1501,151,282,7,106,20357,4784,1713,280,1170,227,216,8,92,18516,3592,1806,324,1250,255,225,8,68,17188,3419,1973,423,1411,233,203,15,111
17031010600,43109,8811,6946,660,3627,2515,98,288,411,42246,8526,6513,606,4087,1910,106,87,319,37338,10642,6558,595,3960,1773,145,281,399,43958,8545,6624,744,4132,1725,142,295,330,40576,8381,6515,745,4004,1402,138,663,308,47549,9256,6271,623,4186,1030,162,672,221,50882,6004,6395,708,3909,1139,204,940,203,57118,10516,6363,1079,3779,1330,292,564,398
17031010701,55220,3938,3943,420,2377,684,106,668,108,54765,6894,3946,385,2565,655,200,412,114,58319,5901,3999,407,2427,706,303,426,137,57109,5418,3921,362,2284,739,444,338,116,60798,12257,3833,361,2307,704,452,227,143,55529,10522,3766,355,2293,719,518,117,119,60167,12681,3620,379,2065,849,310,236,160,53045,9556,3562,564,1820,801,272,605,39
17031010702,42188,10677,5520,681,2896,1192,201,1058,173,36967,6555,5274,652,2978,1077,244,724,251,35950,3894,5163,712,3194,1001,238,524,206,36464,2925,5608,726,3537,1059,346,452,214,39604,3652,5333,567,3076,1226,344,502,185,41161,2666,5096,553,2937,1184,397,435,143,44583,5945,5082,585,2749,1599,361,264,109,47779,4929,5209,1078,2365,1741,334,249,520
17031020100,45865,7679,4182,479,1727,1549,853,0,53,51069,5352,3990,432,1797,1137,819,114,123,50456,6713,3899,433,1633,1198,763,128,177,51458,4457,4025,468,1439,1474,765,173,174,49318,5281,4208,461,1424,1063,1027,462,232,51346,11242,3836,361,1486,1170,396,543,241,48841,8884,3618,490,1511,1242,181,512,172,51068,2864,3742,649,1395,1386,178,453,330
17031020200,88704,7608,6556,818,4646,387,1344,70,109,88476,14126,6255,726,4536,286,1170,158,105,63906,27301,6634,667,4050,810,1440,172,162,74595,23966,6796,667,4381,737,1334,188,156,87835,24458,6905,504,4423,990,990,309,193,66831,17456,6739,510,3926,1068,1186,354,205,94115,19158,6840,593,3868,711,1280,672,309,100689,25348,6980,1121,3569,560,1166,547,1138
17031020301,52171,15648,5233,483,4150,268,474,175,131,49332,4149,5239,454,4368,280,498,10,46,49109,2935,5142,440,4156,331,547,18,56,53199,15044,5297,379,4349,204,623,18,65,53254,9927,5295,407,4231,188,703,99,64,54496,7103,5472,456,4417,202,600,99,142,56973,8797,5384,503,4337,196,596,97,147,62917,6788,5447,747,4530,134,568,88,118
17031020302,59890,11095,4514,610,3075,525,643,216,55,57765,11696,4651,600,3039,543,781,245,43,60224,9306,4886,426,3289,669,622,179,127,68919,17173,4940,379,3552,582,586,76,144,69861,5601,5023,450,3527,647,554,45,206,72572,17009,5348,481,3712,850,516,41,179,77500,26100,5137,598,3419,523,677,191,252,90560,28231,5116,1005,3827,283,586,155,207
17031020400,50987,11508,4380,431,2626,693,608,254,81,62847,18066,4294,358,2490,753,600,291,53,56419,13572,4518,303,2733,688,764,264,69,64073,12630,4624,360,2576,1032,733,208,75,59705,9082,4551,380,2469,1028,738,149,167,63977,12623,4236,370,2430,867,631,173,135,65917,15823,4258,479,2325,992,639,107,195,65776,9612,4011,623,2012,896,460,174,469
17031020500,37684,7786,6044,660,2568,1241,1187,631,416,38173,4214,6004,773,2614,1255,1191,586,352,37612,7016,5794,717,2627,1190,1236,197,544,39349,3498,5927,902,2473,932,1690,306,526,40090,3769,6545,740,2775,979,1922,298,571,41432,4121,6584,815,2499,837,2340,346,562,44926,5345,6775,889,2082,900,2749,585,459,41673,8721,6744,1273,2060,987,2901,521,275
17031020601,46591,11589,6595,756,4203,416,1140,474,325,50000,14741,6697,765,4124,421,1501,297,307,40819,8287,6330,665,4115,373,1509,66,204,40913,6807,6380,810,4158,382,1387,15,205,39282,7423,6130,597,3673,628,1401,18,223,41308,6062,6131,643,3758,570,1333,74,162,38177,12746,6525,729,3964,356,1807,54,278,54544,11892,6112,1115,4216,405,1060,57,311
17031020602,42733,6772,3932,456,1497,393,1201,694,147,44702,7063,4102,426,2024,342,1220,321,195,43580,7693,4113,389,1975,400,1335,314,89,45349,7176,4378,454,2260,476,1173,378,91,50048,5194,4637,498,2449,466,1151,476,95,53234,5861,4734,475,2545,544,996,530,119,57045,14632,4765,567,2166,625,1082,838,54,70795,11911,5239,1235,2565,663,1044,888,79
