,id,name,lat,lon,first,last,rides
0,3030,Main & 1st,34.051941,-118.24353,2016-07-07,2022-03-31,39820
1,3028,Grand & Temple,34.058319,-118.246094,2016-07-07,2022-03-31,7694
2,3027,Spring & 3rd,34.04998,-118.247162,2016-07-07,2022-03-31,16799
3,3007,5th & Grand,34.05048,-118.254593,2016-07-07,2022-03-31,21402
4,3066,Spring & College,34.063389,-118.23616,2016-07-07,2022-03-31,13078
5,3029,Main & 4th,34.048851,-118.246422,2016-07-07,2022-03-31,12509
6,3063,Pershing Square,34.049198,-118.252831,2016-07-07,2022-03-31,18698
7,3078,Hill & College,34.064281,-118.238937,2016-07-07,2022-03-31,6797
8,3082,Traction & Rose,34.04652,-118.237411,2016-07-07,2022-03-31,26177
9,3052,7th & Bixel,34.051102,-118.264557,2016-07-07,2022-03-31,16095
10,3008,Figueroa & 9th,34.046612,-118.262733,2016-07-07,2022-03-31,18197
11,3022,3rd & Santa Fe,34.04607,-118.233093,2016-07-07,2022-03-31,20453
12,3034,Hope & 11th,34.042061,-118.263382,2016-07-07,2022-03-31,18306
13,3005,7th & Flower,34.04855,-118.259048,2016-07-07,2022-03-31,56221
14,3055,7th & Main,34.044159,-118.251579,2016-07-07,2018-09-30,9398
15,3038,Main & 5th,34.046822,-118.248352,2016-07-07,2019-12-31,17489
16,3069,Broadway & 3rd,34.05088,-118.248253,2016-07-07,2022-03-31,26062
17,3051,7th & Broadway,34.045422,-118.253517,2016-07-07,2020-06-30,11090
18,3006,Olive & 8th,34.04554,-118.256668,2016-07-07,2022-03-31,25580
19,3067,Main & 6th,34.045181,-118.250237,2016-07-07,2020-12-31,22703
20,3042,1st & Central,34.049301,-118.238808,2016-07-07,2022-03-31,25499
21,3018,Grand & Olympic,34.043732,-118.260139,2016-07-07,2022-03-31,12695
22,3062,3rd & San Pedro,34.047749,-118.243172,2016-07-07,2022-03-31,12973
23,3037,Imperial & 7th,34.034801,-118.231277,2016-07-07,2022-03-31,6865
24,3068,Grand & 3rd,34.0532,-118.250954,2016-07-07,2022-03-31,20395
25,3065,New High & Ord,34.060558,-118.238327,2016-07-07,2022-03-31,5343
26,3035,Figueroa & 8th,34.048401,-118.260948,2016-07-07,2022-03-31,31317
27,3058,Industrial St & Mateo St,34.035801,-118.23317,2016-07-07,2022-03-31,7671
28,3036,Willow St & Mateo St,34.039188,-118.232529,2016-07-07,2022-03-31,7423
29,3075,Broadway & 9th,34.04211,-118.256187,2016-07-07,2022-03-31,17880
30,3074,Hope & Olympic,34.04417,-118.261169,2016-07-07,2022-03-31,20663
31,3048,5th & Hewitt,34.041691,-118.235352,2016-07-07,2022-03-31,14552
32,3011,Figueroa & Pico,34.04113,-118.267982,2016-07-07,2022-03-31,10592
33,3040,Wilshire & Witmer,34.05357,-118.266357,2016-07-07,2022-03-31,9072
34,3014,Union Station West Portal,34.05661,-118.237213,2016-07-07,2022-03-31,36919
35,3076,9th & Los Angeles,34.0406,-118.253838,2016-07-07,2022-03-31,13243
36,3049,2nd & Figueroa,34.056969,-118.253593,2016-07-07,2022-03-31,19050
