GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25001010100,25001010100,"Census Tract 101, Barnstable County, Massachusetts",2962,18,2543,183,102,81,13,22,39,50,0,12,55,81,210,124,62,95,148,89
1400000US25001010206,25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",3109,257,2976,243,35,38,0,12,46,58,0,12,1,3,51,41,12,19,39,35
1400000US25001010208,25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",1644,256,1633,256,0,12,6,12,0,12,0,12,0,12,5,8,0,12,5,8
1400000US25001010304,25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",1975,260,1942,251,0,12,22,35,11,17,0,12,0,12,0,12,0,12,0,12
1400000US25001010306,25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",2948,264,2808,295,59,75,0,12,54,71,0,12,0,12,27,41,0,12,27,41
1400000US25001010400,25001010400,"Census Tract 104, Barnstable County, Massachusetts",3020,298,2972,305,23,37,0,12,0,12,0,12,0,12,25,39,0,12,25,39
1400000US25001010500,25001010500,"Census Tract 105, Barnstable County, Massachusetts",2839,296,2801,296,8,19,0,12,21,31,0,12,9,14,0,12,0,12,0,12
1400000US25001010600,25001010600,"Census Tract 106, Barnstable County, Massachusetts",3419,222,3162,217,202,146,0,12,26,20,0,12,0,12,29,32,12,19,17,27
1400000US25001010700,25001010700,"Census Tract 107, Barnstable County, Massachusetts",2707,222,2576,223,55,68,0,12,12,16,0,12,15,25,49,42,0,12,49,42
1400000US25001010800,25001010800,"Census Tract 108, Barnstable County, Massachusetts",5114,444,4978,457,51,75,12,21,32,33,0,17,0,17,41,57,0,17,41,57
1400000US25001010900,25001010900,"Census Tract 109, Barnstable County, Massachusetts",4750,444,4606,435,58,62,0,12,49,76,0,12,6,16,31,35,0,12,31,35
1400000US25001011002,25001011002,"Census Tract 110.02, Barnstable County, Massachusetts",4258,278,3966,278,93,114,0,12,0,12,0,12,116,93,83,70,47,42,36,36
1400000US25001011100,25001011100,"Census Tract 111, Barnstable County, Massachusetts",4560,296,4412,315,17,26,14,21,105,80,0,12,0,12,12,20,0,12,12,20
1400000US25001011200,25001011200,"Census Tract 112, Barnstable County, Massachusetts",3379,301,3115,349,104,109,0,12,134,154,0,12,26,31,0,12,0,12,0,12
1400000US25001011300,25001011300,"Census Tract 113, Barnstable County, Massachusetts",2919,447,2854,451,0,12,25,29,10,18,0,12,30,49,0,12,0,12,0,12
1400000US25001011400,25001011400,"Census Tract 114, Barnstable County, Massachusetts",3065,291,2963,280,82,137,0,12,0,12,0,12,0,12,20,33,0,12,20,33
1400000US25001011500,25001011500,"Census Tract 115, Barnstable County, Massachusetts",3837,397,3437,413,164,144,44,59,82,104,0,12,33,39,77,76,16,26,61,70
1400000US25001011600,25001011600,"Census Tract 116, Barnstable County, Massachusetts",2377,403,2271,403,88,106,0,12,0,12,0,12,0,12,18,29,18,29,0,12
1400000US25001011700,25001011700,"Census Tract 117, Barnstable County, Massachusetts",1865,232,1792,219,6,9,0,12,6,9,0,12,0,12,61,71,6,10,55,70
1400000US25001011801,25001011801,"Census Tract 118.01, Barnstable County, Massachusetts",2298,202,2178,199,12,19,0,12,108,113,0,12,0,12,0,12,0,12,0,12
