"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2972","19","2639","179","58","43","0","13","69","55","0","13","108","157","98","60","11","19","87","60","1400000US25001010100","Census Tract 101, Barnstable County, Massachusetts"
"3662","326","3083","337","93","75","0","13","21","31","0","13","36","41","429","252","0","13","429","252","1400000US25001010206","Census Tract 102.06, Barnstable County, Massachusetts"
"1076","324","1036","307","38","64","0","13","0","13","0","13","1","2","1","2","0","13","1","2","1400000US25001010208","Census Tract 102.08, Barnstable County, Massachusetts"
"2495","242","2319","240","19","29","0","13","141","117","0","13","0","13","16","20","0","13","16","20","1400000US25001010304","Census Tract 103.04, Barnstable County, Massachusetts"
"2401","241","2271","246","0","13","28","41","0","13","0","13","91","109","11","20","0","13","11","20","1400000US25001010306","Census Tract 103.06, Barnstable County, Massachusetts"
"2997","326","2774","335","115","154","0","13","72","88","0","13","0","13","36","56","36","56","0","13","1400000US25001010400","Census Tract 104, Barnstable County, Massachusetts"
"2815","323","2765","329","3","6","0","13","7","11","0","13","40","62","0","13","0","13","0","13","1400000US25001010500","Census Tract 105, Barnstable County, Massachusetts"
"2959","259","2853","294","78","84","0","13","0","13","0","13","0","13","28","41","0","13","28","41","1400000US25001010600","Census Tract 106, Barnstable County, Massachusetts"
"3050","256","2901","287","35","37","0","13","114","141","0","13","0","13","0","13","0","13","0","13","1400000US25001010700","Census Tract 107, Barnstable County, Massachusetts"
