geoid,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
25001010100,46547,3913,2994,13,2787,109,0,0,98,46031,10134,2974,14,2672,171,19,0,112,41140,11993,2964,22,2611,145,25,40,143,41250,9898,2959,15,2624,111,31,51,132,36958,7702,2962,18,2543,102,39,55,210,42228,11702,2962,16,2517,88,88,45,214,47500,9839,2952,18,2617,50,48,45,184,50741,7720,2960,15,2712,46,35,0,158,59063,8028,2973,26,2718,57,35,44,119
25001010206,59234,11997,2858,256,2774,2,0,16,66,54959,12883,3098,284,2986,19,0,17,76,47166,14200,3012,256,2839,40,0,17,116,45746,8238,3011,277,2907,40,0,1,63,45735,6198,3109,257,2976,35,46,1,51,48452,13113,3168,260,2940,78,58,1,91,59042,13567,3171,266,2888,70,107,0,106,69267,7140,3481,225,3162,64,115,21,119,74639,5128,3617,275,3270,70,120,35,122
25001010208,71964,38247,1903,260,1855,0,17,0,0,81964,35577,1653,287,1636,0,0,0,0,57578,9652,1731,258,1708,0,0,0,0,58060,9799,1738,278,1704,0,0,0,5,60432,4814,1644,256,1633,0,0,0,5,62051,3153,1589,262,1563,11,0,0,6,62844,12976,1580,263,1545,20,0,0,5,65446,10571,1254,228,1222,27,0,0,5,68367,5644,1122,275,1083,38,0,0,1
25001010304,69659,23145,2395,269,2335,15,22,0,7,70000,19784,2171,267,2099,13,31,0,6,59906,19601,2001,258,1918,7,50,0,5,72556,13266,1995,306,1967,0,11,0,2,72264,8786,1975,260,1942,0,11,0,0,61138,7245,2107,241,2072,0,35,0,0,71250,15039,2332,243,2199,21,112,0,0,79044,14744,2431,240,2285,22,101,0,23,85263,15020,2394,212,2207,27,134,0,26
25001010306,50357,16558,2616,270,2563,9,44,0,0,51047,13109,2812,268,2737,6,69,0,0,53125,19831,2944,260,2872,5,67,0,0,56490,12976,2937,304,2894,0,43,0,0,52303,10543,2948,264,2808,59,54,0,27,55455,10485,2817,241,2636,71,21,42,47,55694,9955,2576,248,2386,89,13,43,45,62553,10246,2462,239,2253,105,15,39,50,70071,13542,2507,215,2321,56,17,48,42
25001010400,54669,6124,3056,296,2986,0,18,29,23,53982,6720,3214,270,3163,0,13,0,38,53790,12254,3074,265,3020,0,8,0,46,47361,11229,3067,265,3011,29,0,0,27,48218,14271,3020,298,2972,23,0,0,25,46741,5655,3081,232,2906,158,17,0,0,48442,6777,3037,289,2817,193,27,0,0,60188,15938,3044,308,2734,257,53,0,0,66364,11772,3066,281,2761,207,60,0,38
25001010500,67424,16481,2890,300,2820,5,62,0,3,67335,13377,2691,270,2662,6,19,0,4,67863,7879,2803,265,2778,0,16,0,9,68412,5957,2807,262,2774,5,16,7,5,69154,9517,2839,296,2801,8,21,9,0,68508,12011,2766,230,2705,8,23,30,0,76087,19929,2790,285,2753,5,0,32,0,78682,18270,2777,308,2734,5,0,38,0,95804,28443,2742,282,2696,3,6,37,0
25001010600,69471,14167,3235,213,2920,270,26,15,4,67612,4910,3424,226,3026,370,28,0,0,67059,3988,3396,236,3056,316,24,0,0,68320,8794,3379,224,3030,295,38,0,16,67781,12489,3419,222,3162,202,26,0,29,66852,10202,3238,268,2975,221,21,0,21,73625,9924,3091,229,2910,122,20,0,39,73203,12880,3077,268,2855,165,18,0,39,82159,18335,3108,224,2965,107,0,0,36
25001010700,69223,11873,2942,210,2825,36,22,14,45,63036,23955,2740,223,2640,40,0,19,41,59214,14822,2742,239,2640,22,0,18,62,56645,11251,2750,224,2611,69,3,17,50,66429,21511,2707,222,2576,55,12,15,49,64375,18222,2904,269,2752,64,22,0,66,77083,25901,3058,229,2894,60,17,0,87,82417,20490,3078,271,2954,53,20,0,51,88011,15984,2911,225,2834,33,19,0,25
25001010800,58271,9775,4966,322,4858,50,19,0,26,64831,12808,5021,283,4893,62,25,0,29,59821,11836,5097,354,5004,33,23,0,23,70094,18533,5201,368,5102,25,30,0,32,72426,13323,5114,444,4978,51,32,0,41,76768,13422,4860,395,4773,32,0,0,55,69846,13326,4734,393,4648,43,0,0,43,71776,8325,4548,328,4444,57,0,0,47,71091,9291,4390,349,4250,70,0,0,70
