GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",768,85,35476,12375,36.8,8.4,26657,4596,55.5,8.6,45694,20327,0.0,4.1,-,**,2.9,3.1,9792,99648,0.0,4.1,-,**,3.6,5.7,-,**,1.2,1.8,-,**,13.5,7.6,27353,37997,31.8,9.4,28542,13598,2.2,2.9,28229,14628,40.8,8.9,48912,6827,35.5,9.8,23218,2494,21.5,5.5,36953,14504,509,96,30313,12208,52.7,12.3,25357,2336,47.3,12.3,49511,14172,22.6,8.6,36750,40887,67.6,11.1,27813,11282,9.8,10.1,50268,45803,259,76,25694,14490,54.1,18.8,14464,15094,54.1,18.8,14464,15094,0.0,11.8,-,**,45.9,18.8,39010,39027,35.9,21.1,37656,22895,10.0,16.3,-,**,43.2,(X),(X),(X),52.1,(X),(X),(X),25.9,(X),(X),(X)
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",2179,221,25756,4168,18.7,6.1,29390,26122,74.7,7.1,25250,6476,0.0,1.5,-,**,4.3,3.5,28603,27849,0.0,1.5,-,**,1.3,1.9,-,**,1.0,1.5,-,**,2.7,2.4,9006,15171,17.9,6.0,29884,33126,12.0,6.6,26557,1566,43.1,7.1,20514,5695,34.1,6.6,33542,33265,10.7,5.2,45143,59257,1135,232,22023,7953,70.6,9.8,19950,10442,29.4,9.8,48958,36852,31.3,10.6,64063,13982,49.1,11.3,20038,11721,19.6,8.9,12846,8640,1044,204,26440,4605,50.3,10.2,27829,4874,43.3,10.2,26908,10140,7.0,6.0,50625,49105,49.7,10.2,25116,7547,40.7,10.5,21452,5006,9.0,5.1,64333,47597,27.3,(X),(X),(X),25.1,(X),(X),(X),25.4,(X),(X),(X)
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2490,173,33571,9698,53.6,7.5,42956,9991,36.7,6.3,18629,13450,0.0,1.3,-,**,3.5,3.1,24286,77744,0.0,1.3,-,**,3.6,3.7,-,**,2.5,2.3,81713,62521,7.6,4.3,67764,70237,50.5,7.3,43948,12443,2.3,2.4,14697,21545,42.4,7.4,30931,25823,32.4,6.1,36939,12253,22.8,4.6,24643,15455,1313,190,39514,12476,46.2,12.3,37833,15437,53.8,12.3,50883,18138,39.9,10.5,81337,12371,52.9,11.6,27924,19279,7.2,6.2,16750,61962,1177,193,23996,14176,48.3,9.9,18142,7855,45.5,10.1,17188,5600,2.8,3.4,33295,38655,51.7,9.9,36250,5083,46.7,10.2,36364,4201,4.9,5.3,14697,125383,28.8,(X),(X),(X),34.0,(X),(X),(X),21.5,(X),(X),(X)
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1029,74,71902,13641,93.7,4.0,74750,14391,4.5,3.3,61719,89937,0.4,0.9,-,**,1.5,2.2,-,**,0.0,3.1,-,**,0.0,3.1,-,**,0.0,3.1,-,**,1.4,2.1,-,**,92.3,4.6,73000,13941,0.0,3.1,-,**,20.8,5.4,95486,19847,36.6,9.3,71328,14069,42.6,8.3,56053,19036,421,77,109659,21685,23.5,9.3,92813,101240,76.5,9.3,115833,24037,79.3,13.1,116538,22132,17.1,11.3,49559,105998,3.6,5.5,-,**,608,93,56397,10834,69.2,11.7,46510,7021,53.6,12.2,39318,18371,15.6,8.5,70234,51703,30.8,11.7,68229,4391,29.8,11.6,68021,3852,1.0,1.6,-,**,21.2,(X),(X),(X),20.9,(X),(X),(X),21.4,(X),(X),(X)
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2191,172,60298,15797,73.4,9.7,75025,9796,11.3,5.9,27474,39459,0.0,1.5,-,**,12.9,8.3,"2,500-",***,0.0,1.5,-,**,2.4,3.0,-,**,0.0,1.5,-,**,3.2,3.4,11707,86895,72.6,9.6,73500,9459,11.8,6.7,"2,500-",***,30.7,6.7,72188,21826,37.2,6.4,63933,25683,20.3,4.6,45526,22626,1003,208,84525,9942,24.3,8.1,52458,62866,75.7,8.1,88266,11947,78.5,9.7,89073,18147,16.4,9.2,52045,34566,5.2,4.8,86146,70220,1188,234,28472,10528,51.0,12.5,22581,14607,35.9,10.9,30841,7358,15.1,7.7,"2,500-",***,49.0,12.5,40625,22116,27.0,11.8,40781,28334,22.0,9.2,31023,105957,19.3,(X),(X),(X),20.4,(X),(X),(X),18.3,(X),(X),(X)
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",13,14,19125,10452,76.9,58.5,-,**,23.1,58.5,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,76.9,58.5,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,100.0,82.2,19125,10452,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,13,14,19125,10452,100.0,82.2,19125,10452,100.0,82.2,19125,10452,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,82.3,-,**,0.0,(X),(X),(X),-,(X),(X),(X),0.0,(X),(X),(X)
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1607,154,19345,6914,58.6,8.8,25795,9559,27.5,8.1,18061,9988,0.7,0.9,14792,32109,3.8,3.9,"2,500-",***,0.0,2.0,-,**,4.0,4.2,9890,1830,5.4,3.5,27054,15688,13.0,6.9,9589,2276,51.3,9.4,27386,5451,13.4,8.0,6412,13855,24.7,6.9,27578,16485,41.8,8.7,22619,9370,20.1,5.5,19837,15555,577,140,39115,14840,48.2,14.4,26786,12335,51.8,14.4,47708,21400,44.9,14.5,59458,8554,40.0,14.1,22074,3718,15.1,10.8,24967,46001,1030,193,10385,5231,37.6,11.3,11225,5953,25.6,8.2,16364,10072,11.9,10.4,6042,15244,62.4,11.3,9806,7684,46.4,11.4,9754,6789,16.0,11.1,9972,13647,31.4,(X),(X),(X),29.6,(X),(X),(X),32.4,(X),(X),(X)
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",797,98,39814,4678,68.0,9.4,38056,10846,9.2,5.3,55913,15722,0.0,4.0,-,**,18.6,8.5,40000,3883,0.0,4.0,-,**,0.0,4.0,-,**,4.3,3.6,30000,76163,5.1,4.7,50625,51271,65.9,9.3,38843,11115,17.9,9.0,16705,23819,37.3,8.4,54180,4543,25.5,7.7,40580,6286,19.3,6.2,25000,15947,286,80,55481,21900,38.8,15.0,55337,26705,61.2,15.0,75313,64828,54.2,16.7,81250,24523,38.8,15.7,32188,21923,7.0,7.3,80000,9345,511,104,32716,6491,59.3,11.8,31979,17005,46.4,12.4,20938,20612,12.9,8.2,41250,12554,40.7,11.8,35543,9848,35.0,11.1,30341,9746,5.7,6.6,39313,5103,32.1,(X),(X),(X),59.8,(X),(X),(X),16.2,(X),(X),(X)
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1274,136,19273,3185,49.2,9.5,18245,5299,38.1,9.3,22172,9316,0.9,1.5,-,**,5.3,4.2,16250,8562,0.0,2.5,-,**,5.3,5.0,16496,506,1.2,1.8,-,**,13.1,8.1,18403,9500,43.0,8.8,15000,5924,34.6,10.4,14244,2537,33.4,9.7,18722,3629,25.5,7.6,36949,23365,6.4,3.3,18152,3144,518,118,23021,7814,62.7,12.6,21083,1956,37.3,12.6,36750,9478,37.3,14.3,35450,29378,56.2,14.0,22183,3753,6.6,5.5,28056,46901,756,115,15063,3223,32.9,14.2,13155,7797,19.7,9.1,10750,6337,13.2,9.7,140278,269016,67.1,14.2,15673,3694,36.0,13.1,15731,7087,31.1,12.9,14899,8769,39.3,(X),(X),(X),42.1,(X),(X),(X),34.0,(X),(X),(X)
