GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",2001,305,503,125,1229,272,0,11,48,54,0,11,6,13,215,170,0,11,215,170
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",4519,609,557,164,3750,600,0,11,13,23,0,11,39,61,160,163,0,11,160,163
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",5244,724,2541,329,1965,653,14,21,135,88,0,16,149,101,440,296,36,65,404,290
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",2423,191,2210,194,101,73,46,54,66,55,0,11,0,11,0,11,0,11,0,11
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",4654,481,3247,462,741,265,37,58,350,209,0,11,160,160,119,86,0,11,119,86
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",5033,500,3441,402,805,168,0,16,401,95,3,7,168,73,215,59,92,48,123,48
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",3758,405,2138,396,983,288,14,16,236,220,0,11,119,115,268,192,38,41,230,186
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",3747,288,2673,265,405,125,0,11,346,142,6,14,101,53,216,122,49,45,167,115
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",3851,541,1372,389,1654,458,19,28,310,172,0,11,376,330,120,103,54,75,66,53
