GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",27250,10262
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",24091,6623
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",33454,15095
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",74255,7279
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",70815,10428
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",-,**
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",35663,10598
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",48409,13190
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",26078,9974
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",29955,8806
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",17044,5116
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",23036,7271
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",43920,8120
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",32231,8409
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",48333,19427
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",62978,6246
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",71106,6734
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",62813,5786
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",86809,9185
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",81616,13608
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",40673,7723
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",49541,5776
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",44583,14205
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",30329,15744
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",18421,6764
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",35611,3608
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",49118,12589
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",37614,5804
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",36944,9298
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",60450,4295
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",49875,10746
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",36176,12000
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",52410,5044
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",50800,9401
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",72900,10414
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",74286,8867
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",61850,5994
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",82582,10020
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",98438,14556
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",73271,5812
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",62887,9983
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",98750,12759
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",71203,16585
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",118125,9898
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",89471,10138
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",58724,3173
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",107381,5401
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",71523,6456
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",83325,9086
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",56557,6680
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",66616,9927
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",99464,13207
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",94960,8533
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",83429,9500
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",110781,11302
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",78482,11016
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",105701,14631
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",69792,10004
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",52500,8966
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",105000,13248
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",81250,15472
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",90888,6445
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",89816,17420
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",100109,10730
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",71515,9814
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",65536,7387
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",103482,9547
1400000US36001014612,36001014612,"Census Tract 146.12, Albany County, New York",87917,27297
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",83333,23773
1400000US36001014614,36001014614,"Census Tract 146.14, Albany County, New York",72043,8399
1400000US36001014615,36001014615,"Census Tract 146.15, Albany County, New York",58835,9795
1400000US36001014700,36001014700,"Census Tract 147, Albany County, New York",82056,11345
1400000US36001014801,36001014801,"Census Tract 148.01, Albany County, New York",73385,5670
1400000US36001014802,36001014802,"Census Tract 148.02, Albany County, New York",57375,10728
1400000US36001014803,36001014803,"Census Tract 148.03, Albany County, New York",79974,4942
1400000US36003940200,36003940200,"Census Tract 9402, Allegany County, New York",-,**
1400000US36003950100,36003950100,"Census Tract 9501, Allegany County, New York",51250,5372
1400000US36003950300,36003950300,"Census Tract 9503, Allegany County, New York",41612,2116
1400000US36003950400,36003950400,"Census Tract 9504, Allegany County, New York",47827,3414
1400000US36003950500,36003950500,"Census Tract 9505, Allegany County, New York",47659,5136
1400000US36003950600,36003950600,"Census Tract 9506, Allegany County, New York",38511,4210
1400000US36003950700,36003950700,"Census Tract 9507, Allegany County, New York",44713,6150
1400000US36003950800,36003950800,"Census Tract 9508, Allegany County, New York",48077,8912
1400000US36003950900,36003950900,"Census Tract 9509, Allegany County, New York",52693,4251
1400000US36003951000,36003951000,"Census Tract 9510, Allegany County, New York",44179,4675
1400000US36003951100,36003951100,"Census Tract 9511, Allegany County, New York",42830,3335
1400000US36003951200,36003951200,"Census Tract 9512, Allegany County, New York",45345,2668
1400000US36003951300,36003951300,"Census Tract 9513, Allegany County, New York",46520,4386
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",62773,11556
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",82697,8000
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",33118,3520
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",40117,4612
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",18370,5969
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",17426,2744
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",22771,7746
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",17383,3678
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",13216,2978
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",52294,9031
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",42353,7047
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",20413,2951
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",31638,5766
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",-,**
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",36667,13241
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",30357,13488
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",49706,9348
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",20137,5129
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",30710,5170
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",22940,4879
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",19077,2967
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",39643,10283
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",32872,5181
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",24683,4407
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",27321,7322
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",18428,2298
