"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2035","241","351","116","1332","205","52","84","58","59","0","12","68","97","174","105","15","24","159","103","1400000US36001000100","Census Tract 1, Albany County, New York"
"4793","681","660","193","3691","705","0","12","65","69","0","12","0","12","377","175","2","4","375","174","1400000US36001000200","Census Tract 2, Albany County, New York"
"6147","951","2328","541","1757","631","21","31","811","497","0","17","262","197","968","474","126","168","842","428","1400000US36001000300","Census Tract 3, Albany County, New York"
"2362","233","2083","234","180","85","14","21","52","61","0","12","13","24","20","32","0","12","20","32","1400000US36001000401","Census Tract 4.01, Albany County, New York"
"4253","494","3127","519","470","236","18","29","330","213","0","12","164","106","144","116","0","12","144","116","1400000US36001000403","Census Tract 4.03, Albany County, New York"
"5082","473","3127","354","1059","200","0","17","381","110","3","7","320","84","192","72","57","40","135","56","1400000US36001000404","Census Tract 4.04, Albany County, New York"
"3523","564","1806","506","1301","377","38","56","66","74","0","12","66","106","246","250","0","12","246","250","1400000US36001000501","Census Tract 5.01, Albany County, New York"
"3785","305","2451","264","667","177","7","13","401","124","0","12","138","62","121","53","19","19","102","49","1400000US36001000502","Census Tract 5.02, Albany County, New York"
"3663","475","1495","389","1069","385","13","23","393","187","0","12","142","195","551","248","0","12","551","248","1400000US36001000600","Census Tract 6, Albany County, New York"
"3885","606","663","237","2783","501","28","49","37","33","0","12","21","31","353","272","29","47","324","269","1400000US36001000700","Census Tract 7, Albany County, New York"
"2192","405","375","157","1457","483","0","12","0","12","0","12","65","70","295","190","20","35","275","189","1400000US36001000800","Census Tract 8, Albany County, New York"
"1573","254","860","159","534","180","0","12","65","54","0","12","35","36","79","57","6","14","73","56","1400000US36001001100","Census Tract 11, Albany County, New York"
"3855","436","2848","471","794","266","0","12","79","74","0","12","37","42","97","91","0","12","97","91","1400000US36001001400","Census Tract 14, Albany County, New York"
"4775","653","3591","679","455","254","0","12","322","202","0","12","125","197","282","202","0","12","282","202","1400000US36001001500","Census Tract 15, Albany County, New York"
