,Unnamed: 0,id,name,lat,lon,first,last,rides
0,0,444,Broadway & W 24 St,40.7423543,-73.98915076,2013-06-01,2017-10-31,285239
1,1,406,Hicks St & Montague St,40.69512845,-73.99595065,2013-06-01,2022-05-09,159249
2,2,475,E 15 St & Irving Pl,40.73524276,-73.98758561,2013-06-01,2017-02-28,127196
3,3,2008,Little West St & 1 Pl,40.70569254,-74.01677685,2013-06-01,2022-05-09,401115
4,4,485,W 37 St & 5 Ave,40.75038009,-73.98338988,2013-06-01,2022-05-09,297481
5,5,285,Broadway & E 14 St,40.73454567,-73.99074142,2013-06-01,2022-05-09,768462
6,6,509,9 Ave & W 22 St,40.7454973,-74.00197139,2013-06-01,2022-05-09,531982
7,7,265,Stanton St & Chrystie St,40.72229346,-73.99147535,2013-06-01,2022-05-09,346776
8,8,404,9 Ave & W 14 St,40.7405826,-74.00550867,2013-06-01,2015-08-31,91736
9,9,423,W 54 St & 9 Ave,40.76584941,-73.98690506,2013-06-01,2022-05-09,255293
10,10,502,Henry St & Grand St,40.714215,-73.981346,2013-06-01,2022-05-09,277947
11,11,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2013-06-01,2022-05-09,131390
12,12,486,Broadway & W 29 St,40.7462009,-73.98855723,2013-06-01,2022-05-09,464949
13,13,527,E 33 St & 2 Ave,40.744023,-73.976056,2013-06-01,2018-06-30,221758
14,14,309,Murray St & West St,40.7149787,-74.013012,2013-06-01,2022-05-09,258873
15,15,503,E 20 St & Park Ave,40.73827428,-73.98751968,2013-06-01,2022-05-09,385476
16,16,257,Lispenard St & Broadway,40.71939226,-74.00247214,2013-06-01,2022-05-09,294844
17,17,494,W 26 St & 8 Ave,40.74734825,-73.99723551,2013-06-01,2022-05-09,487009
18,18,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2013-06-01,2022-05-09,507070
19,19,305,E 58 St & 3 Ave,40.76095756,-73.96724467,2013-06-01,2022-05-09,385991
20,20,480,W 53 St & 10 Ave,40.76669671,-73.99061728,2013-06-01,2022-05-09,312094
