"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2587","16","2450","151","19","29","0","10","0","10","0","10","98","143","20","32","0","10","20","32","1400000US42001030101","Census Tract 301.01, Adams County, Pennsylvania"
"5813","27","5735","84","0","14","0","14","25","37","0","14","53","56","0","14","0","14","0","14","1400000US42001030102","Census Tract 301.02, Adams County, Pennsylvania"
"5309","226","4705","213","25","23","0","14","32","27","0","14","456","167","91","46","32","26","59","35","1400000US42001030200","Census Tract 302, Adams County, Pennsylvania"
"4229","163","3866","158","81","61","0","10","57","47","0","10","205","120","20","19","2","4","18","19","1400000US42001030300","Census Tract 303, Adams County, Pennsylvania"
"5857","180","5535","147","24","33","21","24","0","14","0","14","262","133","15","15","5","9","10","12","1400000US42001030400","Census Tract 304, Adams County, Pennsylvania"
"3779","167","3331","206","16","15","3","5","8","14","0","10","380","179","41","35","38","36","3","4","1400000US42001030500","Census Tract 305, Adams County, Pennsylvania"
"4932","20","4494","180","60","72","6","11","95","88","0","10","116","109","161","102","115","98","46","44","1400000US42001030600","Census Tract 306, Adams County, Pennsylvania"
"6457","259","5804","259","94","73","0","14","25","33","0","14","398","71","136","86","41","49","95","67","1400000US42001030700","Census Tract 307, Adams County, Pennsylvania"
"7168","259","6810","259","46","32","6","9","32","25","0","14","197","130","77","45","2","5","75","44","1400000US42001030800","Census Tract 308, Adams County, Pennsylvania"
