,id,name,lat,lon,first,last,rides
0,3160,38th & Market,39.956619,-75.198624,2017-04-01,2022-03-31,26285
1,3046,2nd & Market,39.950119,-75.144722,2016-01-01,2022-03-31,58447
2,3006,40th & Spruce,39.952202,-75.20311,2016-01-01,2022-03-31,40390
3,3010,15th & Spruce,39.947109,-75.166183,2016-01-01,2022-03-31,109658
4,3070,"Spring Garden Station, MFL",39.960621,-75.139832,2016-01-01,2022-03-31,20058
5,3052,9th & Locust,39.947319,-75.156952,2016-01-01,2022-03-31,75786
6,3026,2nd & Lombard,39.94138,-75.145638,2016-01-01,2022-03-31,39033
7,3037,Pennsylvania Convention Center,39.954239,-75.161377,2016-01-01,2022-03-31,41902
8,3041,"Girard Station, MFL",39.968491,-75.13546,2016-01-01,2022-03-31,24502
9,3063,17th & Pine,39.946331,-75.1698,2016-01-01,2022-03-31,56248
10,3125,15th & South,39.943909,-75.167351,2016-04-01,2022-03-31,49773
11,3020,University City Station,39.949219,-75.190361,2016-01-01,2022-03-31,68887
12,3099,4th & Washington,39.93401,-75.15094,2016-04-01,2022-03-31,21409
13,3061,23rd & Market,39.95425,-75.177612,2016-01-01,2022-03-31,54974
14,3072,Front & Carpenter,39.934448,-75.145409,2016-01-01,2022-03-31,24151
15,3032,23rd & South,39.945271,-75.17971,2016-01-01,2022-03-31,87477
16,3124,Race Street Pier,39.95295,-75.139793,2016-04-01,2022-03-31,26191
17,3157,"8th & Mifflin, Bok Building",39.925449,-75.159538,2017-04-01,2022-03-31,17761
18,3008,Temple University Station,39.980782,-75.150551,2016-01-01,2022-03-31,15048
19,3057,Philadelphia Museum of Art,39.964581,-75.180031,2016-01-01,2022-03-31,86129
20,3028,4th & Bainbridge,39.940609,-75.149582,2016-01-01,2022-03-31,67661
21,3098,10th & Federal,39.934311,-75.160423,2016-04-01,2022-03-31,26887
22,3154,12th & Callowhill,39.95924,-75.158211,2017-04-01,2022-03-31,33605
23,3045,13th & Locust,39.947922,-75.162369,2016-01-01,2022-03-31,91329
24,3004,Municipal Services Building Plaza,39.953781,-75.163742,2016-01-01,2022-03-31,39360
25,3112,48th & Spruce,39.953732,-75.218246,2016-04-01,2022-03-31,20136
26,3064,"18th & Washington, Chew Playground",39.9384,-75.173271,2016-01-01,2022-03-31,46211
27,3161,30th Street Station East,39.954861,-75.180908,2017-04-01,2022-03-31,29652
28,3049,Foglietta Plaza,39.945091,-75.142502,2016-01-01,2022-03-31,32319
29,3036,2nd & Germantown,39.968441,-75.140007,2016-01-01,2019-06-30,8144
30,3062,24th & Sansom,39.951969,-75.179428,2016-01-01,2022-03-31,33223
31,3170,Grays Ferry & Pemberton,39.94426,-75.181343,2017-04-01,2022-03-31,26380
32,3005,"Welcome Park, NPS",39.94733,-75.144028,2016-01-01,2022-03-31,24767
33,3053,Point Breeze & Tasker,39.932308,-75.181541,2016-01-01,2022-03-31,38060
34,3068,Broad & Federal,39.93549,-75.167107,2016-01-01,2022-03-31,42589
35,3033,10th & Chestnut,39.95005,-75.156723,2016-01-01,2022-03-31,43918
36,3054,Rodin Museum,39.962502,-75.174202,2016-01-01,2022-03-31,80118
37,3034,11th & Reed,39.933151,-75.162483,2016-01-01,2022-03-31,40874
38,3088,3rd & Girard,39.969841,-75.1418,2016-01-01,2022-03-31,21550
39,3019,6th & Race,39.954029,-75.149834,2016-01-01,2022-03-31,21098
40,3111,"Parkside & Belmont, Case Building",39.978039,-75.212196,2016-04-01,2022-03-31,9805
41,3069,4th & Christian,39.937038,-75.150383,2016-01-01,2022-03-31,35880
42,3153,"Thompson & Palmer, Adaire School",39.97216,-75.129936,2017-04-01,2022-03-31,9518
43,3105,Penn Treaty Park,39.966518,-75.129959,2016-04-01,2019-03-31,2282
44,3023,Rittenhouse Square,39.950481,-75.172859,2016-01-01,2018-09-30,61348
45,3030,Darien & Catharine,39.93935,-75.157158,2016-01-01,2022-03-31,44326
46,3066,19th & Lombard,39.94561,-75.173477,2016-01-01,2022-03-31,62908
47,3024,"43rd & Chester, Clark Park",39.948219,-75.209084,2016-01-01,2022-03-31,25199
48,3073,9th & Spring Garden,39.96143,-75.15242,2016-01-01,2022-03-31,29373
49,3075,Fairmount & Ridge,39.967178,-75.161247,2016-01-01,2022-03-31,32131
50,3018,12th & Filbert,39.952728,-75.15979,2016-01-01,2022-03-31,55821
51,3095,29th & Diamond,39.987709,-75.180519,2016-04-01,2019-06-30,4052
52,3086,Broad & Christian,39.940189,-75.166908,2016-01-01,2022-03-31,36305
53,3050,9th & Arch,39.953388,-75.154259,2016-01-01,2022-03-31,39247
54,3056,Broad & Oxford,39.976688,-75.158127,2016-01-01,2022-03-31,41161
55,3051,23rd & Fairmount,39.967442,-75.175072,2016-01-01,2022-03-31,46148
56,3102,Pennsylvania & Fairmount Perelman Building,39.968182,-75.180344,2016-04-01,2022-03-31,65915
57,3097,"Berks Station, MFL",39.978882,-75.133392,2016-04-01,2022-03-31,15652
58,3022,Amtrak 30th Street Station,39.95472,-75.183228,2016-01-01,2022-03-31,70487
59,3156,20th & Market,39.953812,-75.174072,2017-04-01,2022-03-31,35617
60,3040,17th & Spring Garden,39.962891,-75.166061,2016-01-01,2022-03-31,48042
61,3078,19th & Market,39.953548,-75.171921,2016-01-01,2022-03-31,47108
62,3043,"18th & Fernon, Aquinas Center",39.93082,-75.174744,2016-01-01,2022-03-31,30509
63,3074,44th & Walnut,39.955109,-75.209869,2016-01-01,2022-03-31,28776
64,3163,25th & Locust,39.949741,-75.180969,2017-04-01,2022-03-31,39375
65,3115,"19th & Girard, PTTI",39.97263,-75.167572,2016-04-01,2022-03-31,16005
66,3114,22nd & Federal,39.937752,-75.180122,2016-04-01,2022-03-31,37403
67,3031,13th & Montgomery,39.980049,-75.15522,2016-01-01,2022-03-31,30907
68,3021,18th & JFK,39.953899,-75.169022,2016-01-01,2022-03-31,81709
69,3007,"11th & Pine, Kahn Park",39.945171,-75.159927,2016-01-01,2022-03-31,72400
70,3121,27th & Girard,39.97274,-75.17939,2016-04-01,2022-03-31,29884
71,3093,33rd & Diamond,39.988369,-75.187012,2016-04-01,2022-03-31,6966
72,3011,38th & Powelton,39.960461,-75.197006,2016-01-01,2022-03-31,22204
73,3107,33rd & Reservoir,39.982029,-75.18866,2016-04-01,2022-03-31,9978
74,3013,6th & Fairmount,39.963169,-75.147919,2016-01-01,2022-03-31,27719
75,3012,21st & Catharine,39.942181,-75.177467,2016-01-01,2022-03-31,69568
76,3038,The Children's Hospital of Philadelphia (CHOP),39.947811,-75.194092,2016-01-01,2022-03-31,45566
77,3101,11th & South,39.942951,-75.159554,2016-04-01,2022-03-31,72016
78,3120,31st & Girard,39.97522,-75.186691,2016-04-01,2022-03-31,27044
79,3058,20th & Fairmount,39.967159,-75.170013,2016-01-01,2022-03-31,50183
80,3117,ParkWest Town Center,39.978409,-75.223991,2016-07-01,2022-03-31,4936
81,3027,"40th Street Station, MFL",39.95694,-75.200691,2016-01-01,2019-12-31,14902
82,3025,11th & Washington,39.937241,-75.161201,2016-01-01,2022-03-31,36227
83,3100,Moyamensing & Tasker,39.927769,-75.151031,2016-04-01,2022-03-31,38718
84,3009,33rd & Market,39.955761,-75.189819,2016-01-01,2022-03-31,55823
85,3039,Broad & Girard,39.97121,-75.159698,2016-01-01,2022-03-31,29183
86,3029,36th & Sansom,39.9538,-75.194794,2016-01-01,2022-03-31,55369
87,3065,Girard & Hutchinson,39.970699,-75.151711,2016-01-01,2022-03-31,10287
88,3059,"Spring Garden Station, BSL",39.96265,-75.161743,2016-01-01,2022-03-31,43022
89,3017,6th & Berks,39.98003,-75.143707,2016-01-01,2022-03-31,9666
90,3071,"32nd & Baring, Drexel Park",39.961731,-75.187881,2016-01-01,2022-03-31,23414
91,3055,8th & Market,39.951118,-75.154572,2016-01-01,2022-03-31,39024
92,3060,Free Library of Philadelphia - Central Library,39.959229,-75.170357,2016-01-01,2022-03-31,32203
93,3108,15th & Market,39.953159,-75.165512,2016-04-01,2022-03-31,66443
94,3119,42nd & Lancaster,39.96674,-75.207993,2016-04-01,2022-03-31,10378
95,3035,Dornsife Center,39.962711,-75.194191,2016-01-01,2022-03-31,28294
96,3150,"15th & Castle, DiSilvestro Playground",39.928841,-75.170212,2017-04-01,2022-03-31,13512
97,3123,22nd & Cecil B. Moore,39.980042,-75.170883,2016-04-01,2022-03-31,8409
98,3158,Broad & Passyunk,39.925522,-75.169037,2017-04-01,2022-03-31,20895
99,3122,"24th & Cecil B. Moore, Cecil B. Moore Library",39.980621,-75.1735,2016-04-01,2018-12-31,1856
100,3015,"4th & Walnut, NPS",39.94735,-75.148857,2016-01-01,2022-03-31,33840
101,3118,"46th Street Station, MFL",39.95866,-75.213226,2016-04-01,2022-03-31,15432
102,3047,"Independence Mall, NPS",39.95071,-75.149208,2016-01-01,2022-03-31,48579
103,3016,"11th & Poplar, John F. Street Community Center",39.968922,-75.154701,2016-01-01,2022-03-31,6174
104,3113,Philadelphia Zoo,39.97472,-75.197807,2016-04-01,2022-03-31,5315
105,3162,27th & South,39.94595,-75.184753,2017-04-01,2022-03-31,24084
106,3110,Del. River Trail & Penn St.,39.96175,-75.136414,2016-04-01,2022-03-31,17657
107,3129,"The Children's Hospital of Philadelphia, Osler Circle",39.946812,-75.193108,2016-04-01,2020-06-30,14785
108,3106,33rd & Dauphin,39.991791,-75.186371,2016-04-01,2022-03-31,9607
109,3103,"27th & Master, Athletic Recreation Center",39.977139,-75.179398,2016-04-01,2019-06-30,3758
110,3152,"40th & Baltimore, Trolley Portal",39.94952,-75.20256,2017-04-01,2022-03-31,8700
111,3159,38th & Spruce,39.95121,-75.199623,2017-04-01,2022-03-31,23449
112,3077,17th & Girard,39.972069,-75.163513,2016-01-01,2022-03-31,16069
113,3104,34th & Mantua,39.96664,-75.192093,2016-04-01,2022-03-31,8997
114,3109,Parkside & Girard,39.974861,-75.205238,2016-04-01,2017-12-31,2335
115,3096,29th & Dauphin,39.991192,-75.179749,2016-04-01,2022-03-31,7861
116,3067,"39th & Mt. Vernon, Mantua Haverford Community Center",39.964111,-75.19973,2016-01-01,2022-03-31,8106
117,3000,Virtual Station,,,2016-04-01,2022-03-31,720
118,3014,"21st & Winter, Franklin Institute",39.958858,-75.173691,2016-01-01,2022-03-31,17405
120,3155,7th & Fitzwater,39.940182,-75.154419,2017-09-26,2022-03-31,25238
121,3164,12th & Passyunk,39.928139,-75.165154,2017-09-26,2022-03-31,16785
122,3165,24th & Race SRT,39.958191,-75.1782,2017-09-27,2022-03-31,19535
123,3169,2nd & Race,39.953819,-75.142632,2017-09-28,2022-03-31,21600
124,3168,20th & Sansom,39.95121,-75.173698,2017-12-13,2022-03-31,44415
125,3116,Barnes Foundation,39.96006,-75.171982,2017-12-14,2022-03-31,21874
126,3167,12th & Chestnut,39.950249,-75.160278,2018-01-24,2022-03-31,44774
129,3166,Frankford & Belgrade,39.972351,-75.134453,2018-05-09,2022-03-31,10791
131,3184,Health Sciences Drive,39.945621,-75.195618,2018-06-19,2022-03-31,5156
132,3183,15th & Kitty Hawk,39.889938,-75.176788,2018-06-19,2022-03-31,3258
133,3186,12th & Normandy,39.89307,-75.171677,2018-06-19,2022-03-31,4203
134,3185,11th & Market,-39.951759,-75.158318,2018-06-19,2022-03-31,29165
135,3188,"Broad & Pattison, BSL",39.904709,-75.173401,2018-06-20,2022-03-31,7286
136,3181,Crescent Park,39.89629,-75.17514,2018-06-26,2022-03-31,3021
137,3192,2nd & Fairmount,39.96207,-75.141113,2018-08-09,2021-12-31,12132
138,3190,17th & Locust,39.948921,-75.169907,2018-09-13,2022-03-31,45355
139,3187,20th & Race,39.957249,-75.172318,2018-09-25,2022-03-31,13069
140,3182,17th & Sansom,39.950809,-75.169533,2018-10-17,2022-03-31,26034
141,3195,18th & JFK Curbside,39.954102,-75.169647,2019-04-06,2020-06-30,9616
142,3196,25th & Diamond,39.987171,-75.174767,2019-04-18,2022-03-31,2879
143,3197,Broad & Ritner,39.92083,-75.170326,2019-05-14,2022-03-31,11931
144,3200,Ridge & Master,39.97583,-75.168457,2019-06-27,2022-03-31,5065
145,3210,Broad & Diamond,39.984921,-75.156677,2019-08-28,2022-03-31,9988
146,3206,18th & Chestnut,39.95174,-75.170631,2019-08-29,2022-03-31,18056
147,3202,16th & Chestnut,39.95134,-75.16758,2019-08-30,2022-03-31,32848
148,3201,16th & Arch,39.955231,-75.166199,2019-09-10,2022-03-31,10761
149,3209,45th & Baltimore,39.949001,-75.212784,2019-09-11,2022-03-31,8750
151,3208,34th & Spruce,39.950481,-75.193237,2019-10-05,2022-03-31,28487
152,3203,18th & Christian,39.940769,-75.172272,2019-11-07,2022-03-31,15494
153,3204,17th & Green,39.964371,-75.165817,2019-11-15,2022-03-31,9333
154,3205,17th & JFK,39.954048,-75.167831,2019-11-25,2022-03-31,9283
