GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; White alone
HD02_VD02,Margin of Error; White alone
HD01_VD03,Estimate; Black or African American alone
HD02_VD03,Margin of Error; Black or African American alone
HD01_VD04,Estimate; American Indian and Alaska Native alone
HD02_VD04,Margin of Error; American Indian and Alaska Native alone
HD01_VD05,Estimate; Asian alone
HD02_VD05,Margin of Error; Asian alone
HD01_VD06,Estimate; Native Hawaiian and Other Pacific Islander alone
HD02_VD06,Margin of Error; Native Hawaiian and Other Pacific Islander alone
HD01_VD07,Estimate; Some other race alone
HD02_VD07,Margin of Error; Some other race alone
HD01_VD08,Estimate; Two or more races:
HD02_VD08,Margin of Error; Two or more races:
HD01_VD09,Estimate; Two or more races: - Two races including Some other race
HD02_VD09,Margin of Error; Two or more races: - Two races including Some other race
HD01_VD10,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races"
HD02_VD10,"Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
