GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",2143,221,75505,6605,89.8,4.4,76463,7055,4.6,3.3,10268,33273,0.0,1.2,-,**,3.6,2.4,117692,35949,0.0,1.2,-,**,0.6,1.0,-,**,1.3,1.5,9833,40616,4.7,3.5,130400,45685,85.2,5.5,74652,7083,8.1,3.8,55375,69299,69.6,6.3,79200,9897,16.4,5.1,89653,32876,5.9,3.5,30865,67828,479,165,113750,40244,2.9,4.7,-,**,97.1,4.7,114671,51231,87.1,7.7,114408,67460,7.7,6.6,83942,54440,5.2,6.0,147596,204630,1664,203,65686,8648,44.9,7.4,73203,7670,37.5,7.7,72813,8984,7.4,3.1,76442,53479,55.1,7.4,63304,6269,44.5,7.0,62554,11282,10.6,5.8,106818,59997,13.4,(X),(X),(X),9.2,(X),(X),(X),14.6,(X),(X),(X)
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",943,126,49928,9068,33.0,10.1,115156,16875,0.8,1.4,-,**,0.0,2.6,-,**,64.2,10.1,34269,4851,0.0,2.6,-,**,1.1,1.7,-,**,1.0,1.5,-,**,3.5,3.7,79375,51287,31.5,10.0,117344,16622,4.8,4.0,3125,1520,54.2,9.0,72125,39532,26.5,7.9,57250,50167,14.5,5.0,14792,16411,375,111,38427,13801,20.3,15.0,39032,10032,79.7,15.0,36806,24420,67.7,17.4,48293,12906,25.3,16.2,34125,3549,6.9,6.6,74063,60100,568,121,57206,45263,40.3,12.5,55404,18940,37.7,12.2,47273,19277,2.6,4.3,-,**,59.7,12.5,82269,45079,35.7,12.2,24776,76796,23.9,13.6,111829,20286,17.0,(X),(X),(X),12.0,(X),(X),(X),20.2,(X),(X),(X)
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",1854,114,71250,11758,70.9,6.3,80741,14841,10.9,4.4,29844,32064,0.0,1.3,-,**,16.2,5.5,44722,42972,0.0,1.3,-,**,0.0,1.3,-,**,2.0,1.8,103375,155927,7.4,4.3,39730,87297,64.1,6.9,85326,15615,5.4,2.8,27788,42508,52.5,6.1,100521,18910,18.7,3.1,87061,11715,23.4,3.9,21797,15020,597,126,125156,40461,29.1,12.1,112917,49372,70.9,12.1,138750,40022,81.4,11.8,132500,30805,9.4,5.9,28636,11014,9.2,10.7,163191,237615,1257,156,45486,11179,51.1,7.4,38667,12413,43.4,7.5,30729,12541,7.7,4.1,77269,52608,48.9,7.4,71691,33667,38.9,8.7,54301,39578,10.0,4.8,77692,23244,25.5,(X),(X),(X),31.3,(X),(X),(X),22.8,(X),(X),(X)
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",1632,143,30000,7215,61.3,8.9,65067,9283,10.6,6.5,18750,10735,0.2,0.3,-,**,25.0,8.1,13158,11861,0.0,1.5,-,**,0.0,1.5,-,**,2.9,3.5,23164,22340,2.0,2.6,68472,23019,59.3,9.0,64648,12033,8.0,5.3,16833,22796,55.3,9.6,58969,15238,17.3,7.9,25375,132501,19.4,5.8,10078,4979,315,105,23320,35024,19.0,16.5,24063,1930,81.0,16.5,20125,116476,75.6,17.3,9917,139306,21.0,17.0,23516,21980,3.5,5.5,-,**,1317,164,31290,10664,59.0,11.3,30853,10452,56.0,11.4,30068,10672,3.0,2.8,54167,37103,41.0,11.3,46375,42216,30.0,11.1,27878,13576,11.0,5.7,104659,65931,12.7,(X),(X),(X),15.6,(X),(X),(X),12.1,(X),(X),(X)
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",2307,156,44805,6432,88.7,5.0,46989,9078,1.4,1.6,15147,31671,0.0,1.1,-,**,7.2,3.8,29129,26386,0.0,1.1,-,**,0.0,1.1,-,**,2.6,3.0,6694,51330,0.0,1.1,-,**,88.7,5.0,46989,9078,5.1,3.4,23646,36601,23.9,6.4,62470,13165,19.5,4.9,56000,67058,51.5,5.5,33826,10752,425,128,107227,29539,9.4,3.2,162826,146541,90.6,3.2,106992,24692,91.3,7.4,116974,30934,8.7,7.4,7313,48028,0.0,5.7,-,**,1882,179,33375,11215,77.0,6.2,35481,14132,72.1,6.9,31883,9327,4.9,3.2,109514,113371,23.0,6.2,28162,22773,20.3,6.0,21094,19621,2.7,2.0,187802,185925,26.1,(X),(X),(X),34.4,(X),(X),(X),24.2,(X),(X),(X)
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",711,67,45734,11289,52.5,11.5,37639,19319,19.3,7.3,53291,2823,0.0,3.5,-,**,26.6,10.2,47120,13809,0.0,3.5,-,**,0.6,0.8,-,**,1.1,1.8,-,**,5.1,4.0,10417,8770,49.8,11.7,38241,15042,17.9,6.8,9688,15525,61.0,8.4,53167,8435,17.3,7.2,26319,33030,3.8,0.4,-,**,100,46,63523,18796,19.0,16.0,21827,49725,81.0,16.0,64602,50101,72.0,28.9,52917,60374,22.0,28.9,-,**,6.0,10.1,-,**,611,73,39491,14406,56.0,10.1,45054,20076,51.4,9.8,45217,14775,4.6,3.5,21000,47462,44.0,10.1,38375,30817,32.7,8.9,37750,48404,11.3,7.6,50272,37572,18.1,(X),(X),(X),46.0,(X),(X),(X),13.6,(X),(X),(X)
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",639,82,62806,14920,63.2,11.8,72750,19197,10.5,10.8,63139,12452,0.0,3.8,-,**,26.3,12.4,53409,21303,0.0,3.8,-,**,0.0,3.8,-,**,0.0,3.8,-,**,0.0,3.8,-,**,63.2,11.8,72750,19197,13.9,9.1,53138,1861,52.7,12.7,90938,42873,32.6,12.4,63000,21740,0.8,1.1,-,**,103,48,111607,18772,0.0,21.3,-,**,100.0,21.3,111607,18772,96.1,7.2,111845,27074,0.0,21.3,-,**,3.9,7.2,-,**,536,91,54676,12442,42.9,14.0,58750,17343,34.5,12.0,59375,16253,8.4,7.3,16250,153007,57.1,14.0,53939,12085,44.2,16.2,48750,24724,12.9,12.0,64028,48561,22.8,(X),(X),(X),0.0,(X),(X),(X),27.2,(X),(X),(X)
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",2010,179,38654,16277,77.9,8.6,39832,16207,9.0,6.9,9643,68157,0.0,1.2,-,**,12.0,5.8,40909,65271,0.0,1.2,-,**,0.7,1.1,-,**,0.4,0.7,-,**,3.8,2.7,29615,50982,74.1,9.3,39928,16628,12.6,5.4,9091,6031,50.4,7.9,48465,14672,18.8,7.1,75179,51650,18.1,5.3,27422,6582,296,120,109333,26763,0.0,8.1,-,**,100.0,8.1,109333,26763,100.0,8.1,109333,26763,0.0,8.1,-,**,0.0,8.1,-,**,1714,206,26713,4103,48.1,9.9,26157,5418,41.0,9.3,26065,3949,7.1,4.4,38409,66509,51.9,9.9,31161,17075,44.9,10.1,25071,12076,7.0,5.0,83813,21867,17.6,(X),(X),(X),23.6,(X),(X),(X),16.5,(X),(X),(X)
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1014,79,83125,32031,72.1,12.1,85139,24664,6.5,7.1,27115,24717,0.0,2.4,-,**,13.4,9.2,101048,107296,0.0,2.4,-,**,3.6,4.4,-,**,4.4,5.3,31295,11088,0.5,1.3,-,**,71.6,12.1,85833,26566,5.4,4.3,37813,36187,70.0,10.4,91300,26004,15.4,6.0,176964,220145,9.2,7.2,33487,10602,325,154,168274,19889,38.8,23.9,242778,165603,61.2,23.9,168155,92421,88.9,12.5,168107,27486,4.3,6.8,4688,215424,6.8,10.1,"250,000+",***,689,154,43482,26319,41.7,13.5,36188,8862,29.6,11.9,41019,29956,12.0,10.6,33778,6851,58.3,13.5,61500,33367,53.7,13.7,60521,41264,4.6,5.3,97500,64159,17.3,(X),(X),(X),19.7,(X),(X),(X),16.1,(X),(X),(X)
