GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3527,403,2723,389,369,121,3,8,303,164,0,10,62,62,67,58,20,31,47,49
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",2285,386,780,254,134,89,0,10,1277,354,0,10,23,35,71,71,10,16,61,69
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3438,360,2809,375,179,91,0,10,333,122,0,10,30,47,87,65,9,15,78,64
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2566,235,1529,224,331,169,0,10,672,218,0,10,8,14,26,32,8,13,18,29
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3067,269,2761,313,62,83,0,10,232,121,0,10,0,10,12,22,0,10,12,22
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2388,563,1040,211,763,363,29,45,390,136,0,10,114,61,52,42,30,35,22,25
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1455,460,1077,428,150,67,0,10,197,78,0,10,22,28,9,13,0,10,9,13
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",3097,441,2037,271,342,210,0,10,680,288,0,10,0,10,38,44,0,10,38,44
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1764,255,1327,294,224,154,0,10,129,90,0,10,67,94,17,28,17,28,0,10
1400000US42101000803,42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",3688,361,3343,373,17,24,88,110,186,101,0,10,0,10,54,62,36,57,18,27
