GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3027,345,2610,335,175,81,0,81,160,88,0,81,37,65,45,42,0,81,45,42
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",1897,278,406,137,23,39,0,81,1443,267,0,81,16,26,9,14,0,81,9,14
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3365,362,2367,355,268,110,0,81,578,181,0,81,13,27,139,75,19,30,120,70
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2034,263,1172,226,180,119,12,16,544,188,0,81,0,81,126,159,0,81,126,159
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3198,264,2882,327,114,97,0,81,126,81,0,81,0,81,76,88,0,81,76,88
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2113,300,876,214,627,187,19,32,307,142,0,81,219,92,65,58,18,33,47,48
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1641,425,926,238,340,273,0,81,311,128,0,81,19,38,45,53,26,37,19,38
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",2589,330,1889,315,270,204,0,81,373,172,0,81,13,22,44,47,0,81,44,47
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1515,217,1188,287,52,62,0,81,202,120,0,81,0,81,73,61,0,81,73,61
