GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",2139,217,81987,10444,85.5,4.8,83355,10695,8.3,3.9,40602,10524,0.0,1.2,-,**,5.7,3.8,141518,101073,0.0,1.2,-,**,0.0,1.2,-,**,0.6,0.9,-,**,5.1,3.3,133125,51929,80.4,6.4,80915,10450,6.4,3.1,60169,25370,66.1,6.3,82165,9752,21.4,5.8,100729,13687,6.2,3.4,35921,84304,503,165,102438,24238,15.9,11.7,45000,9982,84.1,11.7,119181,25693,82.1,12.3,102479,25903,10.5,9.6,121375,51638,7.4,7.0,63750,101663,1636,221,75492,11354,48.3,8.3,73649,14467,37.9,7.7,64653,15995,10.4,5.5,103462,45377,51.7,8.3,80402,17355,43.9,8.7,69271,21075,7.8,4.6,125380,25211,15.1,(X),(X),(X),18.3,(X),(X),(X),14.2,(X),(X),(X)
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",998,85,51585,16827,31.2,8.2,114970,18447,0.9,1.3,-,**,0.0,2.5,-,**,66.0,8.5,34301,5741,0.0,2.5,-,**,1.0,1.6,-,**,0.9,1.5,-,**,1.9,2.2,-,**,31.2,8.2,114970,18447,4.0,3.1,3077,1790,54.8,8.7,83594,28765,23.0,7.2,58500,55722,18.1,5.8,12208,5326,399,112,38160,13463,32.3,16.0,38021,6031,67.7,16.0,58500,59274,80.2,13.8,38403,19543,11.0,10.8,36296,21734,8.8,8.3,80197,12638,599,118,56815,23941,46.2,12.7,46528,22451,41.9,11.9,42917,22699,4.3,4.9,-,**,53.8,12.7,83750,55152,31.2,10.6,24388,63579,22.5,14.0,114238,31055,16.7,(X),(X),(X),19.0,(X),(X),(X),15.2,(X),(X),(X)
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",1768,119,73357,5549,74.5,5.9,77353,22703,9.6,3.8,35136,45890,0.0,1.4,-,**,13.0,5.1,43088,55419,0.0,1.4,-,**,0.0,1.4,-,**,2.8,2.2,106964,74204,6.4,3.4,112955,105534,69.3,6.4,85100,18731,7.5,3.8,29659,53070,51.1,5.5,105598,18755,17.4,3.3,110417,47866,24.0,4.3,24233,18934,551,124,148295,37131,22.3,7.7,150563,69618,77.7,7.7,142222,43096,80.4,10.4,151250,56660,10.3,6.5,28558,81681,9.3,9.4,-,**,1217,147,48350,12651,52.4,8.4,39792,13471,42.2,8.2,28958,15454,10.3,5.0,76010,26916,47.6,8.4,75478,20456,36.5,7.6,72083,44248,11.1,5.3,79625,24503,26.9,(X),(X),(X),25.2,(X),(X),(X),27.6,(X),(X),(X)
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",1703,145,44943,21226,63.2,8.9,66250,8210,12.9,6.9,20337,11703,0.2,0.5,-,**,21.1,7.6,27813,28634,0.0,1.5,-,**,0.5,0.8,-,**,2.1,3.4,-,**,2.9,2.6,68300,41097,60.8,8.5,66068,14975,4.9,3.7,25769,13195,57.6,8.2,64276,9448,18.7,7.8,26223,149856,18.7,4.9,15368,5870,376,132,86111,68873,17.3,15.3,23924,1525,82.7,15.3,102083,52905,80.3,15.7,102424,55914,17.0,15.4,23403,2089,2.7,4.1,-,**,1327,193,38523,20852,58.3,10.1,32672,16331,54.4,10.2,31548,12042,3.9,3.2,54868,55886,41.7,10.1,56823,24198,32.6,8.8,29776,29048,9.0,5.5,106136,60078,13.7,(X),(X),(X),12.2,(X),(X),(X),14.2,(X),(X),(X)
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",2231,160,46088,10390,89.2,4.8,46667,9818,0.6,1.0,-,**,0.0,1.1,-,**,9.5,4.4,27891,45831,0.0,1.1,-,**,0.0,1.1,-,**,0.7,1.1,-,**,0.0,1.1,-,**,89.2,4.8,46667,9818,5.1,3.4,44886,35599,27.1,6.2,71479,25500,19.4,5.7,17192,81161,48.4,6.5,31765,8382,359,111,129732,38014,9.2,3.2,-,**,90.8,3.2,125000,30191,90.5,7.7,142422,37787,9.5,7.7,-,**,0.0,6.7,-,**,1872,162,33750,15636,73.3,5.6,32179,16452,66.1,7.5,29483,11760,7.2,5.6,97074,53837,26.7,5.6,44048,26884,25.5,5.5,42738,34285,1.2,1.4,-,**,26.5,(X),(X),(X),21.4,(X),(X),(X),27.5,(X),(X),(X)
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",736,70,48718,13364,45.2,9.1,39813,30804,15.8,9.3,48750,50036,0.0,3.3,-,**,34.1,8.8,51042,15316,0.0,3.3,-,**,0.5,0.8,-,**,4.3,3.9,12000,73571,6.9,4.9,10625,9834,41.4,9.0,49063,25136,18.1,6.7,10125,4802,62.6,10.2,59205,18511,18.2,9.1,53095,28390,1.1,1.5,-,**,130,58,100227,21913,12.3,13.6,-,**,87.7,13.6,100341,17710,77.7,23.2,101875,22134,15.4,22.2,-,**,6.9,11.0,-,**,606,81,33929,22674,53.5,12.5,27097,32602,45.9,12.1,32000,33236,7.6,5.3,12396,24518,46.5,12.5,38846,29544,34.3,11.0,37857,42994,12.2,7.8,46250,35132,17.5,(X),(X),(X),30.8,(X),(X),(X),14.7,(X),(X),(X)
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",631,81,75313,19310,73.1,10.6,77734,21925,4.0,3.7,53854,218830,0.0,3.9,-,**,23.0,10.2,95250,148210,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,4.4,6.0,-,**,68.6,11.1,74602,26166,8.2,5.0,52895,34939,58.6,10.9,94792,6953,32.5,10.8,65250,39827,0.6,0.9,-,**,151,54,114837,46987,0.0,15.2,-,**,100.0,15.2,114837,46987,93.4,8.3,114620,42904,4.6,7.3,-,**,2.0,4.2,-,**,480,92,59444,23840,46.5,12.1,92796,59589,31.0,10.0,65750,40761,15.4,10.8,98600,31734,53.5,12.1,51438,25789,43.5,10.7,50188,29434,10.0,6.5,135556,117072,17.4,(X),(X),(X),3.3,(X),(X),(X),21.9,(X),(X),(X)
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",2069,174,31298,20602,72.4,9.1,39491,25780,10.9,7.1,9742,49170,0.0,1.2,-,**,15.9,6.3,12031,35585,0.0,1.2,-,**,0.0,1.2,-,**,0.7,1.2,-,**,3.2,2.7,53359,52988,69.2,8.9,39236,25163,10.2,3.4,6813,3948,50.4,8.9,51122,35944,21.4,7.2,47404,47673,18.0,5.7,30288,17552,280,110,95000,55852,6.4,10.2,-,**,93.6,10.2,101500,59209,100.0,8.5,95000,55852,0.0,8.5,-,**,0.0,8.5,-,**,1789,198,27325,3948,48.4,8.1,28495,13624,42.3,8.5,28814,18123,6.1,5.0,9583,62098,51.6,8.1,26299,6042,45.7,8.9,25012,6162,5.9,4.4,86731,41194,16.9,(X),(X),(X),22.5,(X),(X),(X),16.0,(X),(X),(X)
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1060,39,77704,30706,74.3,11.1,79048,24947,6.9,8.1,42545,34538,0.0,2.3,-,**,16.3,9.0,79509,49720,0.0,2.3,-,**,1.7,2.0,-,**,0.8,1.3,-,**,2.6,3.9,-,**,71.7,11.1,77000,28460,3.5,3.1,23393,33535,78.1,7.5,78929,23305,8.8,3.8,189375,202818,9.6,5.2,36630,26856,311,160,162153,98498,25.4,16.3,162431,243184,74.6,16.3,126875,110941,97.4,5.0,170036,103071,2.6,5.0,-,**,0.0,7.7,-,**,749,163,50579,18421,42.3,12.1,44509,9888,25.9,11.7,51250,14706,16.4,9.3,33917,10526,57.7,12.1,70278,40462,51.0,12.2,60870,42086,6.7,7.2,78929,3847,16.8,(X),(X),(X),11.3,(X),(X),(X),19.1,(X),(X),(X)
