geoid,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races
42101000100,80813,11379,3027,345,2610,175,160,37,45,75505,6605,3183,381,2773,147,155,52,56,81987,10444,3399,429,2774,331,229,22,43,90225,15953,3527,403,2723,369,303,65,67,92207,16328,3608,389,2807,361,317,33,90,103772,11761,4012,476,3020,500,358,36,98
42101000200,37483,13839,1897,278,406,23,1443,16,9,49928,9068,2009,351,706,44,1231,19,9,51585,16827,2215,381,673,83,1420,18,21,46375,25827,2285,386,780,134,1277,23,71,59891,18665,2331,381,911,141,1183,32,64,50455,22642,2563,457,825,156,1389,59,134
42101000300,73556,11449,3365,362,2367,268,578,13,139,71250,11758,3509,423,2595,271,509,32,102,73357,5549,3398,431,2628,215,392,55,108,79968,17265,3438,360,2809,179,333,30,87,81950,17284,3405,297,2710,179,410,29,77,93036,15233,3530,300,2740,150,447,46,147
42101000401,26547,6585,2034,263,1172,180,544,12,126,30000,7215,2287,298,1319,261,564,13,130,44943,21226,2458,275,1399,293,612,22,132,45949,16397,2566,235,1529,331,672,8,26,46228,13326,2836,240,1664,365,762,8,37,57604,10786,2666,245,1605,346,663,8,44
42101000402,43838,10204,3198,264,2882,114,126,0,76,44805,6432,3021,241,2715,61,184,0,61,46088,10390,2892,276,2610,39,228,0,15,51559,7287,3067,269,2761,62,232,0,12,52813,9622,3049,284,2581,135,288,0,45,70038,14655,3202,367,2721,178,249,0,54
42101000500,47039,8532,2113,300,876,627,307,238,65,45734,11289,2194,367,867,679,400,175,73,48718,13364,2267,678,841,782,400,164,80,46563,20782,2388,563,1040,763,390,143,52,40673,15486,2316,602,999,800,374,89,54,40568,13811,2451,645,1126,851,361,43,70
42101000600,56250,19779,1641,425,926,340,311,19,45,62806,14920,1565,208,983,298,247,8,29,75313,19310,1534,316,1051,168,254,30,31,68056,22264,1455,460,1077,150,197,22,9,67969,16562,1341,172,898,214,187,27,15,71250,17493,1301,171,991,141,140,20,9
42101000700,36614,11856,2589,330,1889,270,373,13,44,38654,16277,2650,307,1975,254,371,14,36,31298,20602,2697,310,1812,334,536,0,15,43108,14194,3097,441,2037,342,680,0,38,51842,5137,3241,454,2078,357,749,0,57,51279,5359,3254,452,2138,411,621,10,74
42101000801,64286,30077,1515,217,1188,52,202,0,73,83125,32031,1713,281,1301,66,179,111,56,77704,30706,1729,195,1321,122,210,58,18,81667,17459,1764,255,1327,224,129,67,17,81620,24587,1692,230,1355,180,69,64,24,91453,30871,1588,180,1223,148,113,86,18
42101000803,76641,30479,3764,351,3276,32,385,71,0,75219,19443,3680,352,3307,17,294,62,0,63051,21155,3556,330,3125,16,265,106,44,56815,11954,3688,361,3343,17,186,88,54,57099,14667,3532,335,3202,17,226,6,81,60915,12153,3569,383,3015,17,426,12,99
42101000804,70762,18028,3054,394,2623,0,336,43,52,75357,11875,3224,411,2765,73,298,41,47,95000,30292,3560,411,3004,80,383,42,51,97861,33463,3785,369,3195,99,407,42,42,96250,25071,3746,456,3035,169,509,26,7,96103,17947,4082,381,3469,134,452,27,0
42101000901,36181,16525,1848,378,1359,197,292,0,0,30781,12733,1910,326,1447,211,247,5,0,37857,8947,1976,238,1415,147,388,26,0,35485,6650,1853,202,1263,158,388,35,9,39539,7611,2081,202,1424,148,420,43,46,41926,2890,2159,207,1521,178,365,46,49
42101000902,21250,17877,2033,414,1455,112,450,0,16,35425,16480,2367,330,1691,90,562,0,24,36120,9353,2457,333,1773,161,474,13,36,42875,11700,2599,282,1898,127,515,11,48,50179,13864,2639,232,1926,126,512,14,61,51029,7648,2663,321,1912,152,501,15,83
42101001001,112679,37901,2295,241,2146,31,118,0,0,89659,25699,2392,265,2142,49,111,0,90,86910,21449,2594,329,2296,69,122,0,107,90000,21095,2400,277,2083,27,138,0,152,96397,29056,2626,290,2224,70,150,0,182,87813,12884,2664,258,2296,64,124,0,180
42101001002,91319,24494,3281,301,3028,66,150,0,37,94044,16940,3311,319,3075,33,171,2,30,92300,19418,3450,304,3139,30,232,3,46,103864,14990,3340,242,3063,23,213,3,38,112599,16145,3541,310,3235,47,218,30,11,109850,12383,3392,282,3144,76,108,48,16
42101001101,50199,14200,3095,336,2679,186,168,21,41,53409,16204,3123,383,2735,180,155,25,28,60929,18331,3336,438,2893,204,180,5,54,66105,8179,3198,422,2830,155,160,5,48,77568,15522,3319,373,2924,138,203,6,48,74545,13904,3666,410,3038,251,224,56,97
42101001102,66226,19504,2448,289,2056,57,213,64,58,65214,22966,2483,240,2194,9,198,72,10,64853,17563,2540,263,2364,31,81,53,11,54821,8934,2433,296,2160,98,83,72,20,53621,11876,2559,267,2037,216,209,59,38,81719,19910,2566,216,2045,186,264,9,62
42101001201,101081,23122,3684,381,3231,62,223,87,81,104093,12827,3636,417,3121,57,215,85,158,112570,17314,3842,428,3382,65,211,52,132,106125,8630,4012,400,3583,43,202,25,159,109643,13131,4167,316,3689,39,262,45,132,100463,17753,4134,337,3559,35,311,60,169
