"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"1400000US06037101110","Census Tract 1011.10, Los Angeles County, California","1634","86","79.3","5.1","2.0","2.8","0.0","2.0","4.4","2.0","0.0","2.0","12.8","3.9","1.5","1.4","24.9","5.0","67.1","5.6","1.6","2.2","33.5","6.8","45.7","6.2","19.3","4.9","1100","130","37.3","7.0","62.7","7.0","71.4","7.9","18.9","7.3","9.7","5.9","534","117","45.5","13.8","39.1","13.3","6.4","5.1","54.5","13.8","45.5","14.2","9.0","7.7","40.1","(X)","39.2","(X)","38.6","(X)","49294","7245","49083","15465","-","**","-","**","60714","14980","-","**","-","**","69531","38909","47768","12237","48417","16805","-","**","53317","15218","60700","20024","27868","12280","51600","17082","54038","52250","50000","17621","67774","17754","28883","8260","-","**","43333","9916","42708","18095","42958","37186","-","**","45938","27565","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037101122","Census Tract 1011.22, Los Angeles County, California","1242","72","83.9","5.6","0.0","2.6","1.4","1.8","9.7","4.3","0.0","2.6","3.9","3.2","1.0","1.5","7.6","4.5","80.8","6.0","1.4","1.8","16.4","5.3","55.0","6.5","27.1","4.8","900","88","25.4","7.3","74.6","7.3","86.4","5.9","10.9","5.4","2.7","2.5","342","85","45.0","14.4","39.5","13.9","5.6","6.1","55.0","14.4","42.4","16.4","12.6","13.8","41.1","(X)","39.3","(X)","42.4","(X)","86081","9530","83289","8932","-","**","-","**","146250","40383","-","**","115078","31161","-","**","87264","36454","81850","11253","-","**","126136","48918","87128","14449","49327","43029","103654","20708","120368","13043","90375","13785","113895","16053","45357","4926","81364","49002","47813","25287","29773","8594","29053","5642","81042","47940","-","**","83625","67895","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037101210","Census Tract 1012.10, Los Angeles County, California","2304","81","72.8","6.5","3.9","3.4","0.0","1.4","3.0","2.8","0.0","1.4","18.5","6.1","1.8","2.2","40.1","7.2","51.2","7.2","2.1","2.4","43.6","7.1","41.5","7.2","12.8","4.3","1266","165","53.5","8.6","46.5","8.6","58.7","10.1","26.5","8.5","14.8","7.8","1038","189","45.2","12.6","42.8","12.3","2.4","3.0","54.8","12.6","39.8","11.6","15.0","9.6","38.5","(X)","35.9","(X)","40.4","(X)","36701","6189","35884","8792","-","**","-","**","-","**","-","**","38162","8054","-","**","34266","8733","40063","10305","-","**","37544","6605","44550","10986","19180","16847","41279","11120","30424","6535","45906","17939","44239","10883","25139","14087","-","**","31463","11834","-","**","-","**","-","**","32226","13594","28681","19255","37798","16564","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037101220","Census Tract 1012.20, Los Angeles County, California","1220","66","67.5","6.4","1.9","2.4","0.0","2.6","14.3","4.5","0.0","2.6","11.4","5.0","5.0","3.4","20.1","5.5","58.7","6.8","0.0","2.6","35.5","7.2","47.9","7.6","16.6","5.2","782","98","51.3","8.8","48.7","8.8","74.0","9.3","17.1","8.6","8.8","5.4","438","95","56.6","12.4","55.5","12.3","1.1","2.0","43.4","12.4","36.1","12.0","7.3","6.8","35.7","(X)","36.7","(X)","32.4","(X)","39634","6057","38140","4300","-","**","-","**","-","**","-","**","-","**","36354","22448","44073","12181","37866","3931","-","**","45685","8305","42000","8183","24107","9732","46042","10344","45547","21111","47031","14335","53594","25852","31354","26537","-","**","28790","10733","-","**","-","**","-","**","37159","8331","35500","17854","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037101300","Census Tract 1013, Los Angeles County, California","1461","70","88.5","4.1","1.6","1.9","0.0","2.2","6.4","3.6","0.0","2.2","2.5","2.8","1.0","1.5","4.4","4.0","86.6","4.5","0.8","1.3","21.0","5.5","50.7","7.1","27.4","5.6","1017","106","24.6","6.2","75.4","6.2","79.6","8.3","8.8","4.3","11.6","6.7","444","95","58.3","12.0","41.0","11.8","17.3","10.5","41.7","12.0","31.5","11.6","10.1","9.8","38.1","(X)","41.1","(X)","29.5","(X)","80708","7693","80539","8781","-","**","-","**","51818","44224","-","**","81800","21928","-","**","81600","46139","80625","9573","-","**","95234","33147","80329","13013","45893","30270","84315","16658","98056","36745","82240","14065","95313","15838","82829","11721","39167","35118","42813","42523","34205","33773","-","**","-","**","80905","61618","-","**","87554","34353","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037101400","Census Tract 1014, Los Angeles County, California","1553","57","76.8","5.6","1.9","3.0","0.0","2.1","7.1","4.1","0.0","2.1","10.6","4.9","3.7","2.5","21.4","6.2","65.2","6.6","4.2","4.0","19.3","6.0","51.2","6.5","25.3","4.9","1066","116","33.0","7.3","67.0","7.3","67.0","8.9","21.4","7.7","11.6","6.9","487","112","51.3","12.3","49.3","12.6","2.1","3.2","48.7","12.3","39.6","12.7","9.0","6.3","37.0","(X)","39.6","(X)","31.2","(X)","65029","10000","66860","10506","-","**","-","**","140116","17873","-","**","31625","10784","-","**","33051","5733","68261","11760","-","**","34265","11503","82426","20564","52708","25297","72731","20021","74318","43987","66250","19857","78083","9537","41163","11671","-","**","52841","25643","40172","23702","36667","23695","-","**","65378","7923","61023","34280","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037102103","Census Tract 1021.03, Los Angeles County, California","683","36","90.0","6.3","0.0","4.6","0.0","4.6","4.2","3.7","0.0","4.6","2.5","4.0","3.2","3.9","18.0","6.8","76.9","7.5","0.0","4.6","24.2","7.5","48.5","8.5","27.4","6.0","487","50","25.5","7.6","74.5","7.6","73.3","8.2","17.2","8.2","9.4","6.9","196","52","63.3","15.0","44.9","16.0","18.4","11.8","36.7","15.0","36.7","15.0","0.0","15.2","37.8","(X)","44.1","(X)","21.9","(X)","73819","7353","78750","9200","-","**","-","**","69018","7844","-","**","-","**","-","**","43839","41296","78750","9310","-","**","83542","21678","77750","14207","62250","12992","79063","15123","82917","29701","78438","20772","92250","18682","68036","24796","-","**","56833","21749","67000","18140","56500","18634","78750","34480","40500","16025","40500","16025","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037102104","Census Tract 1021.04, Los Angeles County, California","1271","61","81.5","6.1","0.6","1.1","0.0","2.5","13.0","4.6","0.8","1.3","2.1","2.3","2.0","3.0","12.6","4.1","73.0","5.9","1.5","1.9","25.0","6.1","46.9","6.7","26.6","4.8","951","97","24.7","7.1","75.3","7.1","81.3","8.6","14.4","7.9","4.3","3.7","320","96","57.8","16.6","54.7","16.5","3.1","4.8","42.2","16.6","39.7","15.9","2.5","4.8","40.6","(X)","45.6","(X)","25.6","(X)","72039","7512","76583","4615","-","**","-","**","-","**","-","**","-","**","-","**","36683","7144","76904","5507","-","**","79861","16042","76067","9191","48958","35222","71382","7207","76120","32067","69643","4125","72731","7074","-","**","60139","17071","54643","35398","33942","12877","34904","11886","-","**","77120","20671","82557","24974","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US06037102105","Census Tract 1021.05, Los Angeles County, California","562","32","61.9","10.3","3.6","4.4","1.6","2.1","8.9","6.6","0.0","5.6","21.9","9.8","2.1","2.2","65.1","6.7","23.1","7.0","0.0","5.6","51.6","10.2","35.2","9.9","13.2","6.6","451","49","48.3","14.5","51.7","14.5","59.4","13.4","27.7","12.8","12.9","8.9","111","47","42.3","23.6","19.8","14.6","22.5","21.2","57.7","23.6","46.8","23.8","10.8","12.6","46.6","(X)","42.8","(X)","37.8","(X)","48571","10958","53750","14524","-","**","-","**","-","**","-","**","30234","27378","-","**","44167","18137","61250","22510","-","**","48571","19966","54250","49872","46917","6353","44821","19839","-","**","44583","13123","84750","30937","30078","8176","-","**","47438","22426","-","**","14583","9037","93355","16936","54167","16746","57500","16795","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
