"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4566","421","3374","401","52","54","0","12","282","144","5","9","742","344","111","66","11","17","100","62","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"3064","293","2583","287","0","12","12","19","253","129","0","12","88","47","128","144","56","87","72","110","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"6043","536","4705","654","172","137","0","17","149","110","0","17","921","535","96","98","49","59","47","53","1400000US06037101210","Census Tract 1012.10, Los Angeles County, California"
"3340","312","2249","319","53","67","0","12","395","100","0","12","457","216","186","120","16","18","170","123","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"4285","470","3734","504","112","140","0","12","245","90","0","12","138","132","56","44","27","34","29","28","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"4089","287","3220","294","19","25","46","69","241","143","0","12","285","214","278","154","0","12","278","154","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"1838","140","1617","169","0","12","0","12","80","69","0","12","52","47","89","71","9","13","80","67","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"3681","383","3078","393","44","24","4","7","441","192","11","20","89","81","14","19","3","6","11","21","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
"1956","192","1233","206","51","47","16","18","165","115","0","12","413","235","78","56","30","49","48","30","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
"3862","392","2850","417","95","76","10","15","362","181","8","13","427","166","110","82","86","78","24","26","1400000US06037102107","Census Tract 1021.07, Los Angeles County, California"
"2532","206","2167","218","17","16","10","15","177","84","12","19","58","40","91","75","0","12","91","75","1400000US06037103101","Census Tract 1031.01, Los Angeles County, California"
"4491","424","3309","416","0","12","8","12","844","176","0","12","253","177","77","65","15","25","62","62","1400000US06037103102","Census Tract 1031.02, Los Angeles County, California"
"6285","629","5145","728","383","370","0","17","348","162","0","17","228","136","181","165","29","36","152","159","1400000US06037103200","Census Tract 1032, Los Angeles County, California"
"3418","326","2909","411","9","13","10","16","238","143","0","12","63","54","189","162","32","49","157","158","1400000US06037103300","Census Tract 1033, Los Angeles County, California"
"6728","611","5273","610","310","193","94","114","559","199","137","214","184","114","171","134","81","81","90","98","1400000US06037103400","Census Tract 1034, Los Angeles County, California"
"3902","392","2385","326","574","144","19","22","343","110","8","12","496","238","77","56","18","20","59","55","1400000US06037104103","Census Tract 1041.03, Los Angeles County, California"
"5887","467","3458","665","258","116","21","33","496","126","0","17","1447","483","207","136","176","131","31","38","1400000US06037104105","Census Tract 1041.05, Los Angeles County, California"
"5126","517","2956","595","510","154","16","21","235","165","12","20","1355","682","42","40","12","18","30","36","1400000US06037104108","Census Tract 1041.08, Los Angeles County, California"
"4317","521","2695","427","466","134","30","33","197","157","0","12","792","478","137","109","36","44","101","98","1400000US06037104124","Census Tract 1041.24, Los Angeles County, California"
"4816","441","3005","499","633","204","5","8","0","12","0","12","1123","398","50","56","43","55","7","10","1400000US06037104201","Census Tract 1042.01, Los Angeles County, California"
"5530","524","3175","547","407","193","0","17","215","269","0","17","1678","530","55","49","36","37","19","32","1400000US06037104203","Census Tract 1042.03, Los Angeles County, California"
"3514","289","2031","322","247","82","6","10","211","57","0","12","921","274","98","62","7","10","91","59","1400000US06037104204","Census Tract 1042.04, Los Angeles County, California"
"5416","683","2916","749","203","133","70","92","9","13","0","17","2094","647","124","85","81","77","43","50","1400000US06037104310","Census Tract 1043.10, Los Angeles County, California"
"6211","680","3569","934","159","86","46","71","174","121","0","17","2102","892","161","171","0","17","161","171","1400000US06037104320","Census Tract 1043.20, Los Angeles County, California"
"3775","384","2378","366","7","10","0","12","0","12","50","54","1336","393","4","7","4","7","0","12","1400000US06037104401","Census Tract 1044.01, Los Angeles County, California"
"3315","379","2014","431","11","16","38","49","102","104","0","12","1139","405","11","16","11","16","0","12","1400000US06037104403","Census Tract 1044.03, Los Angeles County, California"
"3046","204","1864","283","141","165","0","12","28","34","0","12","995","310","18","21","0","12","18","21","1400000US06037104404","Census Tract 1044.04, Los Angeles County, California"
"2984","461","1394","388","0","12","10","10","5","8","0","12","1485","463","90","72","69","66","21","27","1400000US06037104500","Census Tract 1045, Los Angeles County, California"
"3501","337","1784","367","0","12","14","21","0","12","0","12","1642","375","61","44","37","37","24","25","1400000US06037104610","Census Tract 1046.10, Los Angeles County, California"
"3449","358","2016","396","0","12","11","20","18","23","0","12","1258","391","146","131","146","131","0","12","1400000US06037104620","Census Tract 1046.20, Los Angeles County, California"
"4259","268","2499","391","181","117","0","12","0","12","0","12","1545","318","34","25","17","17","17","18","1400000US06037104701","Census Tract 1047.01, Los Angeles County, California"
"2268","279","1426","347","65","49","56","60","0","12","0","12","707","259","14","13","14","13","0","12","1400000US06037104703","Census Tract 1047.03, Los Angeles County, California"
"4294","360","2422","459","474","110","29","46","245","200","0","12","1109","322","15","23","5","9","10","20","1400000US06037104704","Census Tract 1047.04, Los Angeles County, California"
"5806","578","4146","585","10","15","3","8","68","69","0","17","1562","630","17","25","17","25","0","17","1400000US06037104810","Census Tract 1048.10, Los Angeles County, California"
"3425","248","1980","334","102","101","26","40","188","108","0","12","1109","297","20","22","5","7","15","21","1400000US06037104821","Census Tract 1048.21, Los Angeles County, California"
"2683","299","1681","376","19","32","55","85","202","119","0","12","695","306","31","28","4","7","27","28","1400000US06037104822","Census Tract 1048.22, Los Angeles County, California"
"3342","400","2456","491","121","69","19","29","145","67","0","12","453","201","148","85","46","49","102","70","1400000US06037106010","Census Tract 1060.10, Los Angeles County, California"
"5937","581","4670","526","83","55","10","15","92","91","0","17","885","369","197","111","144","112","53","42","1400000US06037106020","Census Tract 1060.20, Los Angeles County, California"
"4714","410","3018","470","154","132","146","108","330","160","0","12","869","429","197","128","55","79","142","94","1400000US06037106111","Census Tract 1061.11, Los Angeles County, California"
"5812","593","4102","541","76","74","296","259","416","233","0","17","719","344","203","124","87","85","116","93","1400000US06037106112","Census Tract 1061.12, Los Angeles County, California"
"3722","271","2667","298","178","112","0","12","303","108","0","12","569","223","5","11","5","11","0","12","1400000US06037106113","Census Tract 1061.13, Los Angeles County, California"
"6346","461","4648","577","202","147","49","58","167","130","0","17","1175","392","105","70","89","68","16","19","1400000US06037106114","Census Tract 1061.14, Los Angeles County, California"
"3600","443","2874","431","2","6","20","25","56","32","0","12","537","231","111","106","4","6","107","106","1400000US06037106403","Census Tract 1064.03, Los Angeles County, California"
"4563","676","3227","600","312","265","0","12","82","77","0","12","846","532","96","87","33","42","63","66","1400000US06037106405","Census Tract 1064.05, Los Angeles County, California"
"5831","482","4195","653","223","194","216","210","369","189","0","17","624","414","204","129","10","17","194","128","1400000US06037106406","Census Tract 1064.06, Los Angeles County, California"
"3086","321","2288","372","360","239","0","12","137","96","0","12","248","162","53","42","11","12","42","40","1400000US06037106407","Census Tract 1064.07, Los Angeles County, California"
"3645","294","2598","306","70","60","0","12","228","156","0","12","702","229","47","46","18","20","29","36","1400000US06037106408","Census Tract 1064.08, Los Angeles County, California"
"5328","437","3752","541","347","158","5","11","307","118","0","17","623","277","294","228","15","23","279","224","1400000US06037106510","Census Tract 1065.10, Los Angeles County, California"
"5778","461","5086","523","23","27","0","17","90","76","0","17","435","205","144","101","9","14","135","98","1400000US06037106520","Census Tract 1065.20, Los Angeles County, California"
"3252","212","2111","191","87","124","0","12","733","96","29","43","34","26","258","104","27","35","231","99","1400000US06037106603","Census Tract 1066.03, Los Angeles County, California"
"4882","537","4090","629","7","12","20","25","173","121","7","17","566","359","19","20","17","19","2","4","1400000US06037106604","Census Tract 1066.04, Los Angeles County, California"
"2314","110","1608","180","26","26","0","12","489","172","0","12","41","45","150","67","7","13","143","66","1400000US06037106641","Census Tract 1066.41, Los Angeles County, California"
"3240","323","2027","306","104","61","0","12","278","166","0","12","464","176","367","271","54","65","313","268","1400000US06037106642","Census Tract 1066.42, Los Angeles County, California"
"4699","310","2980","353","108","105","92","103","841","245","0","12","409","278","269","170","129","153","140","83","1400000US06037106643","Census Tract 1066.43, Los Angeles County, California"
"3425","359","2586","303","125","130","0","12","373","94","0","12","194","112","147","129","0","12","147","129","1400000US06037106645","Census Tract 1066.45, Los Angeles County, California"
