geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48001950100,59675,9914,4958,736,4212,267,50,4,399
48001950401,84063,30550,4867,838,2594,1851,8,57,347
48001950402,-,**,7335,352,3827,2871,8,113,484
48001950500,40000,8381,4397,575,3220,707,0,164,306
48001950600,39936,14035,4704,915,3226,1268,0,141,69
48001950700,32083,5332,2497,457,1116,1126,9,114,120
48001950800,45587,13505,6049,625,3644,1938,84,122,237
48001950901,43959,1809,6475,853,5467,662,0,83,210
48001950902,40313,6380,4253,661,3315,653,0,85,193
48001951001,52198,6934,4216,730,3541,182,26,393,0
48001951002,59113,14147,3326,616,2979,265,13,61,8
48001951100,56553,10999,4840,884,4122,324,152,23,211
48003950100,108029,28406,2495,455,2347,10,0,46,92
48003950200,75965,5392,7331,771,5370,57,57,1257,564
48003950300,54866,16584,4984,635,4101,351,0,246,286
48003950400,72009,43564,3417,227,2992,0,0,318,107
48005000102,61298,28096,5083,612,4815,147,85,21,10
48005000103,85807,48387,3649,702,3160,367,110,0,0
48005000104,70945,33931,2514,354,2514,0,0,0,0
48005000201,45493,13102,2509,410,2453,38,0,8,0
48005000202,44542,5858,3641,660,3325,140,0,80,96
48005000301,56355,8880,5432,771,4379,734,0,17,236
48005000302,55382,13351,5854,948,4602,697,70,13,472
48005000400,39527,13609,4721,610,3530,1027,73,73,18
48005000500,27568,3793,4022,619,1052,2788,0,45,137
48005000600,39271,5918,6443,832,3804,1495,77,402,665
48005000700,36979,12811,3894,686,2670,941,22,201,47
48005000800,53619,4998,5422,701,3892,612,9,794,37
48005000902,54271,21246,3733,652,2584,751,238,65,90
48005000903,54812,4289,3221,494,2203,742,205,55,16
48005000904,72917,28582,3410,791,2395,860,0,24,60
48005001001,41164,9979,5120,586,3428,1076,0,416,191
48005001002,57031,8891,3922,502,3029,507,64,86,236
48005001101,61431,10929,3585,596,3289,23,7,6,260
48005001102,45296,13303,3265,487,2882,140,0,114,129
48005001200,35500,12113,2380,462,2331,9,8,0,32
48005001300,42657,16061,5299,1055,5127,100,0,0,66
48007950101,37083,37079,1447,552,1384,0,2,0,61
48007950102,50543,16407,2732,576,2515,0,97,0,70
48007950103,38365,29472,547,272,521,0,26,0,0
48007950200,64732,25841,1110,295,1025,0,0,0,85
48007950301,36201,8404,4049,660,3772,20,0,2,255
48007950302,102672,41860,3355,598,3138,4,0,136,77
48007950400,42804,16727,3992,732,3443,31,150,193,147
48007950501,45359,5572,2403,439,2350,0,0,0,53
